id,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils
TCGA-GJ-A3OU-01A-31R-A38B-07,0,0,0,0,0,0.120858733,0.003428945,0.003442799,0.045574979,0.01785988,0,0.003916341,0,0.569570255,0.042332386,0.131262473,0.029270079,0,0.03248313,0,0,0
TCGA-DD-AA3A-01A-11R-A37K-07,0.001895727,0.004306024,0,0.063378884,0,0.073247866,0,0.02404849,0.111145569,0,0,0.112650945,0.005396759,0.411565372,0.059023459,0.039016717,0.048809461,0,0.040941008,0,0.004573721,0
TCGA-ED-A82E-01A-11R-A352-07,0,0.005336911,0.011019752,0.072968257,0,0.335215837,0,0.023477126,0.130619497,0,0,0.123115069,0.05317211,0.038544644,0,0.135342856,0,0.011044456,0.055787377,0,0,0.004356107
TCGA-ED-A627-01A-12R-A311-07,0.005898974,0,0.021057949,0.268636049,0,0.243316096,0,0.001026823,0,0.039435192,0,0.061762429,0.010801398,0.025659601,0.107481228,0.166085595,0.025509234,0,0,0.023329433,0,0
TCGA-CC-A9FV-01A-11R-A37K-07,0.007973821,0,0.001846701,0.091366864,0,0.209181117,0,0.025495162,0.017611447,0.04674742,0,0.052961578,0.042091956,0,0.0094337,0.420108274,0,0,0.0692713,0.00591066,0,0
TCGA-DD-AADN-01A-11R-A41C-07,0,0.003973266,0.106904467,0.330294649,0,0,0.108811108,0.029671607,0.08560137,0,0.018226645,0.026769059,0.021089812,0.106733033,0.062018089,0.078808492,0.004349691,0,0.016748711,0,0,0
TCGA-EP-A3JL-01A-11R-A213-07,0.046234068,0,0.005291355,0.11801918,0,0.130048071,0,0.027478545,0.078024583,0,0,0.054268568,0.02601849,0.092925392,0.16272509,0.165645676,0.03299732,0,0.060323663,0,0,0
TCGA-DD-AACZ-01A-11R-A41C-07,0.01159014,0.00046603,0.037482535,0.123320174,0,0.123768963,0.014223387,0.021585803,0.03806655,0.026823951,0,0.034161476,0.027681559,0.191594987,0.04776316,0.225681764,0.017828783,0,0.057960737,0,0,0
TCGA-BC-4072-01B-11R-A155-07,0,0,0.02930489,0.182061364,0,0.056913227,0.032860643,0.047655044,0.095895759,0.044199835,0,0.026229027,0,0.096049212,0.086457769,0.177187356,0.074024046,0,0.012026003,0,0,0.039135823
TCGA-2Y-A9GW-01A-11R-A38B-07,0.0119147,0.003204646,0,0.01358934,0,0.206688083,0,0,0.074126362,0,0,0.048203309,0,0.420712064,0.071041556,0.018364945,0.09326086,0,0.034584173,0,0,0.004309963
TCGA-DD-A1EG-01A-11R-A213-07,0.015646629,0,0.03228997,0.062424132,0,0.115963134,0,0.018613801,0.066114313,0.008421593,0,0.047389956,0.012877499,0.31666799,0.093386344,0.126848699,0.036145689,0,0.047210252,0,0,0
TCGA-CC-A3M9-01A-11R-A213-07,0,0,0.003456893,0.391995629,0,0,0.046921284,0.025302584,0.034692629,0.116970121,0,0.020720125,0.023583514,0.011439291,0.095412663,0.209102471,0.017560668,0,0.002842129,0,0,0
TCGA-FV-A3I1-01A-11R-A22L-07,0.029190463,0,0.022467726,0.029986411,0,0.133033067,0.009115701,0.035657484,0.090704712,0,0,0.021462944,0,0.285842088,0.133432466,0.102818877,0.071799914,0,0.034488149,0,0,0
TCGA-CC-5261-01A-01R-A131-07,0.081483175,0.024425468,0,0.086782802,0,0.266115168,0,0.003569142,0.062849924,0,0,0.035902134,0.010944063,0.080422181,0.064783162,0.078627492,0.145049105,0,0.057035039,0,0,0.002011144
TCGA-2Y-A9H2-01A-12R-A38B-07,0.004711527,0.00905874,0,0.088694851,0,0.152414167,0,0.035087949,0.140653674,0,0,0.06648123,0.028074683,0.32812057,0.075306847,0.028211961,0.026151039,0,0.009506667,0,0,0.007526095
TCGA-CC-5260-01A-01R-A131-07,0.027702782,0,0,0.136096029,0,0.165830886,0,0,0.075322125,0,0,0.041827139,0.09626013,0.099571615,0.066921565,0.157105149,0.088497394,0,0.044865185,0,0,0
TCGA-2Y-A9H3-01A-11R-A38B-07,0.002391388,0,0.105233006,0.176177257,0,0.189927797,0,0,0.040681466,0,0,0.071708145,0.021257279,0.035434881,0.049639084,0.090936735,0.007828075,0,0.207951489,0,0,0.000833398
TCGA-ED-A66X-01A-11R-A311-07,0.032303726,0,0.010272808,0.039285621,0,0.106426088,0,0,0.041624441,0,0,0.011005538,0,0.270439064,0.031869799,0.37136019,0.045419062,0,0.036949847,0,0,0.003043815
TCGA-DD-AAE0-01A-11R-A41C-07,0.006094331,0,0,0.074975016,0,0.169042245,0,0,0.081785699,0,0,0.080914776,0,0.365912578,0.109941274,0.068118598,0.010042835,0,0.033172649,0,0,0
TCGA-DD-A114-01A-11R-A131-07,0.040910644,0,0.041409363,0.046232711,0,0.176324926,0.010294464,0.007884202,0.041741792,0.004175361,0,0.045552544,0.02338192,0.230622528,0.153347771,0.075567525,0.031437571,0,0.07111668,0,0,0
TCGA-5C-AAPD-01A-21R-A39D-07,0.011166165,0,0.17882403,0.127222709,0,0.055219212,0.01311387,0.013650255,0.068889281,0,0,0.0268989,0,0.144247826,0.158243538,0.114722694,0.021896453,0,0.0636816,0,0,0.002223467
TCGA-DD-A3A6-01A-11R-A22L-07,0.001675458,0,0.014792932,0.164321724,0,0.309323129,0,0.01742834,0.078432215,0,0,0.145305565,0.032775003,0.028920931,0.012756407,0.107565761,0.007822616,0,0.078879919,0,0,0
TCGA-XR-A8TD-01A-12R-A39D-07,0.013959161,0,0.05660141,0.261144763,0,0,0.099787075,0.003574151,0,0.00936173,0,0.039487486,0,0.228627511,0.092129277,0.140081253,0.01914655,0,0.027303972,0,0,0.008795662
TCGA-FV-A3I0-01A-11R-A22L-07,0,0.005297094,0.02556444,0.017053829,0,0.182954651,0,0.009450927,0.04582642,0,0,0.091506435,0.017729213,0.307959458,0.00080528,0.227327686,0,0.032759363,0.035719663,0,0,4.55E-05
TCGA-CC-A7II-01A-11R-A33J-07,0.129847183,0,0.016323639,0.045797882,0,0.123836688,0,0,0.070745142,0,0,0.103895096,0,0.214836742,0.022277843,0.262072502,0.003000866,0,0.006737571,0,0,0.000628844
TCGA-DD-AAEK-01A-11R-A41C-07,0.041178969,0,0.00983077,0.163780973,0,0.150316676,0,0.029460469,0.073488288,0,0,0.057849591,0.008175888,0.183414662,0.085191831,0.109508306,0.035401906,0,0.052401671,0,0,0
TCGA-BC-A8YO-01A-11R-A37K-07,0.008579816,0,0,0.239810429,0,0.14644462,0.015245457,0.074845238,0.010233726,0,0,0.10877285,0.01443229,0.074772854,0.129700333,0.047254228,0.059328958,0,0.069108379,0,0,0.001470823
TCGA-G3-A25T-01A-11R-A16W-07,0.005639376,0,0,0.038144167,0,0.210465737,0,0.00680377,0.045550257,0,0,0.13349235,0,0.366764309,0.015765051,0.118380498,0.004646905,0,0.051859777,0,0,0.002487802
TCGA-ED-A97K-01A-21R-A38B-07,0.048016446,0,0.023261169,0.029674786,0,0.204114235,0,0,0.049457035,0,0,0.018739629,0,0.470323038,0.032434346,0.109594353,0,0,0.012954434,0,0,0.001430528
TCGA-G3-AAV7-01A-11R-A38B-07,0,0.008499254,0,0.012653712,0,0.105674602,0,0.017721004,0.028785934,0,0,0.004888291,0,0.610623498,0.036224911,0.135255518,0.001371685,0,0.038301592,0,0,0
TCGA-2V-A95S-01A-11R-A37K-07,0.024846371,0,0.048581478,0.283561876,0,0.078382157,0.016153711,0.038573553,0.076932281,0.016876654,0,0.059176629,0,0.169501361,0.086203782,0.048163829,0.006339778,0,0.042103044,0,0,0.004603496
TCGA-DD-AAW0-01A-11R-A41C-07,0.038850523,0,0,0.031505578,0,0.252110499,0,0,0.057233692,0,0,0.019349998,0.021467958,0.34714412,0.094632108,0.086480705,0.005397903,0,0.045826916,0,0,0
TCGA-GJ-A6C0-01A-12R-A311-07,0.007991299,0,0,0.03034074,0,0.049313093,0.010855958,0.023016252,0.047239142,0,0.021713249,0,0,0.618697479,0.0938829,0.085228269,0.00631316,0,0,0.001771288,0,0.003637172
TCGA-DD-AAVU-01A-11R-A41C-07,0,0,0,0.013185953,0,0.112497927,0,0,0.004131447,0.023490644,0,0.043577457,0,0.510979669,0.029352282,0.222481096,0.003493763,0,0.036809762,0,0,0
TCGA-UB-A7MF-01A-11R-A33J-07,0.047232534,0,0.048400837,0.282162726,0,0.089797877,0.001106311,0.008997786,0.090706409,0,0.011221954,0.036905117,0.033352402,0.019394996,0.165049122,0.075845909,0.040257428,0,0.049568594,0,0,0
TCGA-2Y-A9GY-01A-11R-A38B-07,0.003331484,0,0.122408019,0.237932293,0,0.016227265,0.043601621,0.018731394,0.084414095,0.021985599,0,0.031747078,0.000101206,0.215478674,0.057692771,0.12266924,0.023304421,0,0.000374839,0,0,0
TCGA-CC-5258-01A-01R-A131-07,0.066588381,0,0.008136777,0.053890902,0,0.120196045,0,0.021322809,0.107007438,0,0,0.037527281,0.010972046,0.410658271,0.063731552,0.082809085,0.002915073,0,0,0.003274431,0,0.01096991
TCGA-ZP-A9D2-01A-11R-A38B-07,0.012310495,0.023021241,0.052633498,0.028916315,0,0.235754239,0,0,0.022528152,0,0,0.013166306,0,0.116351727,0.135008393,0.285638706,0,0,0.050235171,0,0,0.024435758
TCGA-G3-A5SJ-01A-11R-A27V-07,0.019532282,0,0.072849327,0.125609343,0,0.160924414,0,0.019712559,0.081015894,0.01848913,0,0.039691714,0,0.222999993,0.076221413,0.095852244,0.042816668,0,0.002780896,0,0,0.021504124
TCGA-K7-A5RG-01A-11R-A28V-07,0.01845606,0,0.157401729,0.342034572,0,0.035425061,0.038166341,0.051941722,0.078890616,0,0,0.034620628,0.01222774,0.055149494,0.062126593,0.070234415,0.012775987,0,0.027251435,0,0,0.003297607
TCGA-BW-A5NQ-01A-11R-A27V-07,0.050248664,0,0.057154509,0.314276517,0,0,0.085974021,0.060035524,0.04693955,0.015102664,0,0.03003541,0.002845112,0.060740389,0.106458607,0.076248591,0.067651358,0,0.026289085,0,0,0
TCGA-DD-AAE2-01A-11R-A41C-07,0.057116807,0,0.042055181,0.168329771,0,0.13708237,0,0.049369633,0.010278146,0.042757043,0,0.058732555,0.001706805,0.02665179,0.202301218,0.141642623,0.02802446,0,0.033951597,0,0,0
TCGA-RG-A7D4-01A-12R-A33R-07,0.090706995,0,0.180378644,0.187705878,0,0.016093706,0,0.061339127,0.067288305,0.045668757,0,0.099982937,0,0.138526837,0.046851836,0.030614229,0,0,0.034273556,0,0,0.000569193
