id,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils
TCGA-A7-A26G-01A-21R-A169-07,0.048747831,0,0.086539906,0.032446895,0,0.27365058,0.011929511,0.044900577,0.001601441,0.024598877,0,0,0,0.113436605,0.132203167,0.113794268,0.050970413,0,0.065179929,0,0,0
TCGA-B6-A0RG-01A-11R-A056-07,0.076120857,0,0.093975927,0.023363006,0,0.073553402,0,0.065431059,0.023869796,0,0,0.037549299,0,0.296960921,0.048574709,0.102374689,0.035921458,0,0.122304876,0,0,0
TCGA-C8-A12K-01A-21R-A115-07,0.009557356,0,0.021788952,0.149989127,0,0.089089881,0.013115795,0.035064685,0.040097172,0,0,0.051395523,0.002887862,0.242835284,0.171890128,0.114976198,0.00938423,0,0.047200334,0,0,0.000727474
TCGA-E2-A574-01A-11R-A29R-07,0.007366297,0,0.000151448,0.197465209,0,0.132710435,0,0.026130658,0.064499553,0,0,0,0,0.508067794,0.004022345,0.047795475,0,0,0.011790786,0,0,0
TCGA-D8-A1XQ-01A-11R-A14M-07,0.009566805,0,0.13866056,0.069036665,0,0.122028242,0.030969276,0.027731781,0.00863928,0,0,0.005218705,0,0.267109461,0.103925863,0.202992229,0,0,0.007299479,0,0,0.006821654
TCGA-D8-A147-01A-11R-A115-07,0.055683788,0,0.009180946,0.04083918,0,0.195921198,0.003287711,0.067386504,0.026231403,0.001274891,0,0.008126807,0,0.351455762,0.055684387,0.105000851,0.005489996,0.04331038,0.031126196,0,0,0
TCGA-OL-A5RW-01A-11R-A28M-07,0.022919071,0,0.054623415,0.021165744,0,0.166693217,0,0.063419282,0.065869361,0,0,0.008920576,0.023397421,0.201454262,0.11617677,0.138641286,0,0.082944386,0.029318484,0,0,0.004456724
TCGA-E2-A14N-01A-31R-A137-07,0.06196326,0,0,0.00663923,0,0.402536483,0.016283638,0.081906014,0,0.033600914,0,0,0.005257803,0.107060171,0.217639312,0.023892953,0,0.026289046,0,0,0.016931176,0
TCGA-E9-A3QA-01A-61R-A22K-07,0.030162221,0.004985047,0.024920629,0.08366912,0,0.115145491,0.060692181,0.046588452,0.086404522,0,0.002570283,0.025427891,0.002954399,0.210207605,0.195083709,0.05258211,0.003441467,0.043514307,0.011650563,0,0,0
TCGA-E2-A14R-01A-11R-A115-07,0,0,0.13461956,0.094110743,0,0.044368747,0.0158484,0.057464155,0.029634151,0.038741487,0,0.009540591,0,0.357393301,0.126498537,0.062793558,0.004130391,0,0.024856379,0,0,0
TCGA-PL-A8LZ-01A-31R-A36F-07,0.029194079,0,0.031285335,0.068938801,0,0.148097437,0.070686258,0.054335007,0.052005543,0,0.018694229,0.016852799,0,0.118488445,0.24520851,0.105808023,0,0.018335116,0.022070419,0,0,0
TCGA-OL-A66P-01A-11R-A31O-07,0,0.006973454,0.210056534,0.167697674,0,0.063041286,0.02058773,0.067608701,0.031678062,0.033479648,0,0.0634394,0,0.07460018,0.061833365,0.098316344,0.017730947,0,0.082956676,0,0,0
TCGA-D8-A27H-01A-11R-A16F-07,0.053250763,0,0.027665036,0.064532702,0,0.190105806,0,0.02950287,0.057331152,0,0,0,0.004323011,0.268464384,0.10949537,0.145123358,0,0,0.050205549,0,0,0
TCGA-A2-A0SX-01A-12R-A084-07,0.025912294,0,0.096627355,0.028317522,0,0.268370529,0.005398221,0.066101532,0.032928575,0.053272394,0,0,0,0.227214816,0.107093278,0.083360634,0.00540285,0,0,0,0,0
TCGA-D8-A1XK-01A-21R-A14M-07,0.055042377,0,0.044230982,0.062444323,0,0.145995344,0.061585475,0.020095803,0,0,0.012630624,0.008061033,0,0.383674169,0.060262273,0.110827224,0,0,0,0.031060898,0,0.004089476
TCGA-GI-A2C9-01A-11R-A21T-07,0.011182157,0,0,0.032358346,0,0.134977476,0,0.031440946,0.019482302,0,0,0.011882377,0,0.198693804,0.044460572,0.261472437,0.132451265,0.053595688,0.063857992,0,0,0.004144638
TCGA-D8-A1JL-01A-11R-A13Q-07,0.018520006,0,0,0.00024489,0,0.250187849,0.024277235,0.064022506,0.014271712,0.015739445,0.061809329,0,0,0.290297381,0.121537846,0.11857659,0,0.007256946,0.001666818,0.007771093,0,0.003820354
TCGA-E9-A244-01A-11R-A169-07,0.010797505,0,0.006548387,0.05674915,0,0.20194546,0,0.065049551,0.028205758,0.030779636,0,0,0,0.34281204,0.144981993,0.111091335,0,0,0.001039185,0,0,0
TCGA-A7-A26F-01B-04R-A22O-07,0,0,0.006343613,0,0,0.319476043,0.046909662,0.020067007,0,0,0.055711906,0,0.053612113,0.094306545,0.045597909,0.275925458,0,0.068336368,0.003192802,0,0,0.010520575
TCGA-A2-A04P-01A-31R-A034-07,0.083900559,0.011067967,0.110930905,0.071486338,0,0.203827285,0,0.103994357,0.070482042,0,0,0.014711105,0.007896686,0.038336803,0.14220045,0.071708193,0.004797997,0.028022489,0.036636824,0,0,0
TCGA-D8-A27M-01A-11R-A16F-07,0.042901937,0.024206205,0.067176124,0.096433855,0,0.184887674,0.031406222,0.059369965,0.024918932,0,0,0.019389878,0.000931443,0.052632399,0.18212149,0.127073071,0.027698057,0,0.058170302,0,0,0.000682446
TCGA-AC-A7VC-01A-11R-A352-07,0.019704648,0,0.011582538,0.0042344,0,0.109202641,0,0.037705897,0.036059723,0.006621439,0.007678362,0.006880114,0.014211577,0.512165819,0.01440695,0.147835834,0.053495843,0,0.018214215,0,0,0
TCGA-D8-A1JF-01A-11R-A13Q-07,0.038941811,0,0.164877029,0.052339352,0,0.151206599,0.009135857,0.003776984,0.007087653,0.06720542,0,0,0,0.142114113,0.074980965,0.20927549,0.010373944,0,0.068684783,0,0,0
TCGA-B6-A1KF-01A-11R-A13Q-07,0.111818388,0,0.041404715,0.005482982,0,0.021707642,0,0.075124849,0.0167377,0,0,0.023930141,0,0.528853918,0.000598474,0.141084705,0,0.012151674,0.021104811,0,0,0
TCGA-A7-A6VY-01A-12R-A33J-07,0.007329364,0,0.081144517,0.002431028,0,0.163834276,0.030849512,0.059350695,0.013362583,0.007362813,0.010261133,0,0,0.309824305,0.121203083,0.174579199,0.014373581,0,0.004093911,0,0,0
TCGA-BH-A1EW-01A-11R-A137-07,0.048252557,0,0,0,0,0.420140562,0.046434372,0,0,0.013448187,0.026440636,0,0.051902411,0.04648969,0.156238905,0.075796871,0.02543373,0,0.085425803,0,0,0.003996278
TCGA-E2-A1LH-01A-11R-A14D-07,0.03200408,0,0.077280593,0.160107691,0,0.135323094,3.11E-05,0.065773561,0.051846577,0.012839949,0,0.027096338,0,0.173805155,0.134686258,0.089424677,0.002878767,0,0.036902187,0,0,0
TCGA-C8-A26Y-01A-11R-A16F-07,0.08995756,0,0.010024423,0.037394336,0,0.056584817,0,0.116225609,0.029354385,0.000399673,0,0.002524729,0,0.467781055,0.063486122,0.109042139,0,0,0.017225154,0,0,0
TCGA-B6-A402-01A-11R-A239-07,0.030766959,0,0.024447181,0.036799794,0,0.075535907,0,0.014011756,0.033023762,0,0.008033024,0,0,0.591632211,0.074367081,0.10307193,0,0,0,0.008310397,0,0
