id,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils
TCGA-K4-A5RI-01A-11R-A28M-07,0,0.001672199,0.013150655,0.012791215,0,0.120539241,0,0.023126095,0.035771486,0,0.082158627,0.080794491,0.052820464,0.001302245,0.002091062,0.112547006,0.235218591,0.056295334,0.169721288,0,0,0
TCGA-UY-A9PH-01A-11R-A38B-07,0.015823446,0,0.110964424,0.182802413,0,0,0.101494377,0.027456975,0.016071332,0,0,0.084273562,0.002299466,0.015889404,0.105153661,0.211188387,0.015575188,0.015554153,0.089639366,0,0,0.005813845
TCGA-XF-A9SY-01A-21R-A42T-07,0.022993745,0,0.09308296,0.029047698,0,0.129400459,0.076014595,0.003405162,0,0,0.041411848,0.028232651,0,0.17818775,0.138826016,0.121565477,0.005579016,0,0,0.125251598,0,0.007001024
TCGA-E7-A6MD-01A-41R-A352-07,0.040912433,0.092997441,0.000423048,0.100815121,0,0.35844447,0,0.002541835,0.067632393,0,0,0.003826904,0.015129585,0.052865985,0.05527107,0.109152097,0.048227882,0.010105047,0.04165469,0,0,0
TCGA-GV-A3QG-01A-11R-A220-07,0.182622658,0,0.060131469,0.09785578,0,0.094023767,0.05172704,0.006172274,0.025710324,0.039657098,0,0.015492955,0,0.206578115,0.107101682,0.069469987,0.003532806,0,0.039924044,0,0,0
TCGA-UY-A8OC-01A-11R-A36F-07,0,0.001330989,0.080524597,0.016593467,0,0.020828246,0,0.053902907,0.022010115,0,0,0.016562015,0,0.586895338,0.020862335,0.129180269,0.043007814,0,0.006507527,0,0.001794381,0
TCGA-XF-AAMR-01A-31R-A42T-07,0,0,0,0.00607947,0,0.134705313,0,0.001821932,0.036449579,0.002019379,0,0.05018059,0.001150523,0,0,0.40641592,0.141304496,0.027705621,0.180358128,0,0,0.011809049
TCGA-BT-A20O-01A-21R-A14Y-07,0.015327684,0,0.01007189,0.389995804,0,0,0.145652084,0.021109051,0.021336955,0.009013821,0.027898159,0,0,0.02382172,0.117153547,0.184206999,0,0,0.034412287,0,0,0
TCGA-BT-A42F-01A-11R-A23W-07,0.037754864,0,0.01165552,0.155736493,0,0.016937002,0.095649111,0.05239875,0.012551319,0.006930751,0,0.025596893,0,0.252842546,0.058665387,0.127309878,0.003686817,0.009957836,0,0.119124967,0,0.013201867
TCGA-XF-A9SL-01A-11R-A39I-07,0.247637025,0,0.015324286,0.062812359,0,0.130309565,0.08275688,0,0.057942452,0,0,0.036370219,0.017514639,0.058885504,0.011858559,0.130367756,0,0,0.144153944,0,0,0.004066812
TCGA-FD-A5C1-01A-11R-A28M-07,0,0,0.065843439,0.186536608,0,0.056024942,0.064220975,0.041699819,0.012798685,0,0,0.017834031,0.007478838,0.104988139,0.101515755,0.209711023,0.011554977,0.096168353,0.017114701,0,0,0.006509716
TCGA-4Z-AA7N-01A-11R-A39I-07,0.23134768,0.145760473,0,0.069100104,0,0.121813454,0.02725618,0.082390159,0.104788391,0,0,0.002610983,0,0.116037021,0.024188537,0.037434378,0.012924856,0.009961152,0.014386632,0,0,0
TCGA-XF-A9T4-01A-11R-A39I-07,0,0,0.05134732,0.099559716,0,0.210881484,0,0.043264441,0,0,0,0.071881426,0,0.142130655,0.133830063,0.109366434,0.06643754,0.006600335,0,0.03480429,0.018031008,0.011865288
TCGA-ZF-AA4V-01A-11R-A38B-07,0.002220355,0,0.012377349,0.293723165,0,0.006733069,0.070019962,0.105661362,0.040886473,0,0,0.067123879,0,0.126023453,0.107867236,0.111728234,0.013648531,0.008421878,0.033565054,0,0,0
TCGA-XF-A8HE-01A-11R-A36F-07,0,0,0.024162739,0.242090021,0,0.040173331,0.045351714,0.082886494,0.039323642,0,0.047684484,0.012491605,0,0.065381931,0.144933846,0.092122648,0,0.018383543,0.037522339,0,0,0.107491665
TCGA-GC-A6I1-01A-12R-A31N-07,0,0,0.098644933,0.134216936,0,0.058250214,0.061921101,0.030582679,0.062721827,0,0.02981052,0.022789962,0,0.250675073,0.072597842,0.13099625,0.000976865,0,0,0.041551554,0,0.004264244
TCGA-4Z-AA82-01A-11R-A39I-07,0,0.015363856,0.012668842,0,0,0.169952161,0,0.084856274,0.007687104,0,0,0.08794891,0.007937277,0.026098342,0,0.036734319,0.243575169,0.223204243,0.080534144,0,0,0.003439358
TCGA-DK-AA6Q-01A-11R-A39I-07,0,0,0.001783591,0.39646751,0,0,0.079811566,0.069406971,0.037734792,0.013231409,0.011087517,0.015976757,0.030424357,0.003497881,0.131083634,0.045004732,0.098358098,0,0.066131184,0,0,0
TCGA-DK-A1AF-01A-11R-A13Y-07,0.026854631,0,0.057537526,0.115265186,0,0.158561459,0.00146914,0.024980561,0.005471088,0,0,0.04236541,0,0.306909601,0.084064328,0.095065182,0.004391712,0,0,0.061538649,0,0.015525527
TCGA-FD-A3B8-01A-31R-A20F-07,0.052166218,0,0,0.09491459,0,0.213997505,0.06442212,0,0,0,0.046125072,0,0,0.11033869,0.177918908,0.125124602,0.012430606,0,0.082951785,0,0,0.019609905
TCGA-GV-A3JX-01A-11R-A20F-07,0,0,0,0.213066628,0,0.113424693,0.026756758,0.109252221,0,0,0.018551139,0.036605717,0.001655549,0.028916518,0.142394687,0.231459887,0.013941507,0.043460409,0.014776502,0,0.005737786,0
TCGA-BT-A20Q-01A-11R-A14Y-07,0,0,0.18025876,0.132440784,0,0.047979142,0.073120458,0.063164218,0.053051524,0.035413161,0,0.021696846,0.00218259,0.001636942,0.08674402,0.116021695,0.121514468,0.017547977,0.047227415,0,0,0
TCGA-K4-A5RJ-01A-11R-A28M-07,0,0,0.0008859,0.286778687,0,0,0.0928817,0.03452036,0.047509024,0.019242701,0,6.51E-05,0.008955835,0.01497873,0.082880533,0.298432971,0.091466006,0,0.020691296,0,0,0.000711199
TCGA-DK-A6B2-01A-11R-A30C-07,0.072539378,0,0.131069906,0.08982697,0,0.0830635,0.009201168,0.019437193,0.051895995,0,0,0.024068216,0.004411237,0.09098795,0.124204705,0.170433355,0.020080936,0.032254112,0.073736284,0,0,0.002789094
TCGA-UY-A8OD-01A-11R-A36F-07,0.058714993,0,0.039478416,0.10113428,0,0.19748027,0,0.021386025,0.033808232,0,0,0.006952072,0,0.352861583,0.057585186,0.066251305,0.014675226,0,0.049672412,0,0,0
TCGA-GU-A766-01A-11R-A32O-07,0.009009126,0,0.018185792,0.120640905,0,0.034329376,0.230185542,0.033450184,0,0,0.080171924,0.039354429,0.047055896,0.037998517,0.178833096,0.048302671,0,0.105780195,0.014308797,0,0,0.00239355
TCGA-BL-A5ZZ-01A-31R-A30C-07,0.030309732,0,0,0.007464197,0,0.106421322,0.03626098,0,0.013073377,0,0.028576294,0.024148587,0,0.454730349,0.003369504,0.223072543,0,0.006296014,0,0.064106678,0,0.002170422
TCGA-ZF-AA52-01A-12R-A39I-07,0.029560888,0,0.035659598,0.075554883,0,0.085165157,0,0.00365594,0.003014066,0,0,0.055490839,0,0.34123317,0.036234222,0.238964632,0.031722077,0,0,0.04655526,0,0.017189268
TCGA-GD-A76B-01A-11R-A32O-07,0.023615339,0,0.17477335,0.174445926,0,0.068893081,0.045659552,0.067347164,0.066325333,0,0,0.036008817,0.000110641,0.013604211,0.151120978,0.113384018,0.050175567,0,0.001891428,0,0.012644596,0
TCGA-DK-AA6L-01A-11R-A39I-07,0,0.008349699,0.004627308,0.05364736,0,0.140469432,0,0.01977299,0.087496186,0,0,0.065570218,0.005224606,0.190555175,0.037790116,0.068494212,0.270800017,0,0.041229584,0,0,0.005973096
TCGA-FD-A3B3-01A-12R-A206-07,0.002214361,0,0.062126239,0.154252115,0,0.061268299,0.101904841,0.02637145,0.014881092,0,0.061233992,0.022020875,0,0.16590153,0.203528339,0.111921595,0,0,0,0.007424649,0,0.00495062
TCGA-K4-A3WS-01A-11R-A22U-07,0.119907338,0,0.021418158,0.118620614,0,0.042633347,0.005993283,0.016060029,0.129222968,0,0.033302848,0,0.012168207,0.054438257,0.212297834,0.135740612,0.022558211,0.017969931,0.057668363,0,0,0
TCGA-ZF-A9RF-01A-11R-A38B-07,0.009258498,0,0,0.433977058,0,0,0.082538219,0.043910304,0.025698746,0,0,0.032568532,0.016533692,0.02066035,0.07968857,0.235797856,0,0,0,0.019368174,0,0
TCGA-R3-A69X-01A-22R-A30C-07,0.038460187,0,0.024856399,0.057003157,0,0.218042996,0.039813662,0.014974706,0.046053328,0,0,0.029315596,0.028869464,0,0.049870015,0.201374058,0.12977106,0.019335351,0.09712719,0,0.00513283,0
TCGA-G2-A2EJ-01A-11R-A180-07,0,0.039882615,0,0.00498363,0,0.090585349,0.062568509,0.037770362,0.002230559,0.013392983,0.025227301,0,0,0.166459418,0.100471733,0.07614192,0,0.202485949,0,0.158455598,0.016220157,0.003123918
TCGA-XF-AAN2-01A-11R-A42T-07,0,0,0.01152522,0.168015859,0,0.151943124,0.054515321,0.087326448,0.007905572,0,0.082801046,0.030766162,0.000760284,0.094419807,0.10748654,0.10957133,0,0.068021047,0.023583093,0,0,0.001359147
TCGA-K4-A54R-01A-11R-A26T-07,0,0,0.00467406,0.203737202,0,0.092811331,0.114797015,0.009317927,0,0,0.193452404,0,0,0.072415064,0.156969991,0.104000466,0.005931524,0.006655495,0.035237521,0,0,0
TCGA-BL-A13I-01A-11R-A13Y-07,0,0,0,0.03429519,0,0.166280626,0,0.038866097,0.04430793,0,0,0.014133285,0.028220383,0.02963537,0.024839112,0.542412506,0,0,0.075672252,0.001337247,0,0
TCGA-FD-A3B7-01A-31R-A20F-07,0,0,0.038222086,0.293500437,0,0.026688691,0.130346677,0.001178265,0,0.025405293,0,0,0,0.222775532,0.139276562,0.105492149,0,0,0.013928354,0,0,0.003185953
TCGA-FD-A6TB-01A-12R-A33J-07,0.21437305,0,0.038102557,0.193135445,0,0.031162764,0.045962818,0.0593521,0.059267751,0,0,0.012296824,0,0.134551247,0.075966084,0.111194483,0.002445022,0,0.022189855,0,0,0
TCGA-FD-A6TD-01A-51R-A33J-07,0.022846842,0,0.071224184,0.08999204,0,0.120429978,0.034155944,0.020566247,0,0,0,0.079494138,0,0.134810503,0.094235065,0.287975791,0.030436776,0.00821404,0.005618451,0,0,0
TCGA-DK-A3IV-01A-22R-A21D-07,0.068469685,0,0,0.044484627,0,0.227934622,0,0.042117791,0.185675685,0.024594518,0,0.026925293,0,0.064710889,0.128634632,0.060193342,0.009054531,0.051823876,0.065380511,0,0,0
TCGA-GC-A3WC-01A-31R-A22U-07,0.043541381,0.000248163,0.055407211,0.154111217,0,0,0.062187423,0.048982111,0.066373123,0.001143385,0,0.009708201,0,0.111745048,0.15634104,0.10595855,0.129037607,0,0.055215539,0,0,0
TCGA-FD-A6TK-01A-42R-A33J-07,0.017385501,0,0.005930323,0.154383444,0,0.089463271,0.137418531,0.063311932,0,0,0,0.036277285,0,0,0.140338088,0.250341803,0.008131144,0.020848576,0.072488532,0,0,0.00368157
TCGA-DK-A3WX-01A-22R-A22U-07,0,0,0.051123461,0.084341502,0,0.222490297,0.026306625,0.027532339,0,0,0.048706317,0.019194622,0,0.139596253,0.120963399,0.049791586,0.001822618,0,0,0.051404349,0,0.156726632
TCGA-G2-A2EO-01A-11R-A180-07,0.00363262,0,0.047040243,0.214560195,0,0.020252695,0.149369458,0.052051017,0.061393195,0,0.085171616,0,0.00506288,0.114066777,0.070372205,0.120218891,0.025066642,0,0.031741566,0,0,0
TCGA-E7-A7XN-01A-11R-A352-07,0,0,0.003298816,0.381496534,0,0,0.169755292,0.031016745,0.019327574,0,0.068009962,0.008642601,0.006876728,0,0.146265844,0.071834955,0.04676607,0.010272196,0.036436684,0,0,0
TCGA-ZF-A9R7-01A-11R-A38B-07,0.019389812,0,0.06208181,0.387838582,0,0,0.069080174,0.134902269,0.041907602,0,0,0.082642951,0.018098414,0.019366336,0.074412002,0.031772098,0.01099461,0,0.047513341,0,0,0
TCGA-G2-A2EF-01A-12R-A18C-07,0.047738954,0,0.035734101,0.188660936,0,0.017645175,0.20464634,0.007261259,0,0,0.060698508,0.013138784,0.003003176,0.063622991,0.143984161,0.15356304,0.053730497,0,0.006572078,0,0,0
