id,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils
TCGA-CM-6165-01A-11R-1653-07,0.032832584,0,0.039323401,0.03184739,0,0.143944126,0.025656329,0.025160392,0.017356803,0.000165713,0,0.006429337,0,0.416431053,0.064058449,0.12234192,0.018771376,0,0.055681127,0,0,0
TCGA-CI-6621-01A-11R-1830-07,0.043290262,0,0.036185709,0.025694184,0,0.11028097,0.136359697,0.003059919,0.005674143,0,0.005262648,0.010562541,0,0.347469683,0.070196974,0.123226972,0.002678378,0,0,0.043976771,0,0.03608115
TCGA-F5-6813-01A-11R-1830-07,0.065536557,0,0.126007411,0,0,0.084776935,0.003872066,0.009232732,0.030996491,0.019607235,0,0.021530545,0,0.363900052,0.167581349,0.093111722,0.012559959,0,0.001286947,0,0,0
TCGA-DC-6156-01A-11R-1660-07,0.025100938,0,0,0.2430838,0,0.040395098,0.014782349,0.012962567,0.016776548,0.017451452,0,0,0,0.38666612,0.038520626,0.183534936,0.000767423,0,0.014271961,0,0,0.005686181
TCGA-AA-A022-01A-21R-A16W-07,0,0,0.080755496,0.452986647,0,0,0.122656113,0.030818889,0.027037623,0,0.060899636,0,0.007186747,0.042959929,0.09231708,0.051019561,0.009931124,0,0.021431155,0,0,0
TCGA-AG-3882-01A-01R-0905-07,0.028919424,0,0.011166959,0.260834874,0,0.05783128,0.062917703,0.020829463,0.146148219,0,0.032743065,0.020331773,0.00891169,0.176616073,0.061439195,0.051422914,0.022746339,0,0.037141029,0,0,0
TCGA-AF-2690-01A-02R-1736-07,0.01786429,0,0.089008211,0.043813828,0,0.106098002,0.047722476,0.02112333,0.034762996,0.037479217,0,0,0,0.247570725,0.088671155,0.201603665,0.024806202,0,0.037603103,0,0,0.001872801
TCGA-AA-3554-01A-01R-0826-07,0.007335547,0,0.041722899,0.011938272,0,0.116089979,0,0.018120206,0.061210966,0,0.055699349,0,0,0.375428358,0.025013814,0.08839429,0.003925304,0,0,0.135710733,0.023603425,0.035806859
TCGA-F5-6464-01A-11R-1736-07,0.038248573,0,0.015436476,0.125690092,0,0.056050547,0.007143277,0.035706,0.054138045,0.002512412,0,0.029874418,0,0.253503474,0.096042264,0.143931359,0.084384543,0,0,0.033948165,0.017675823,0.005714529
TCGA-AG-3901-01A-01R-1119-07,0.020457051,0,0,0.020791667,0,0.222914262,0.00404259,0,0.03619026,0,0.013681643,0,0,0.389427029,0.049711593,0.10740541,0.008910577,0,0,0.115092411,0,0.011375507
TCGA-G4-6295-01A-11R-1723-07,0.10348484,0,0.076639588,0.204894985,0,0.063123972,0.134358618,0.029785,0,0,0,0.040853261,0,0.052763661,0.109564963,0.135887702,0.017738629,0,0.027897142,0,0.00300764,0
TCGA-AA-3869-01A-01R-1022-07,0.026007626,0,0,0,0,0.125146995,0.078711879,0,0.008916555,0.008650927,0.040846877,0,0,0.321681992,0.101205229,0.154014303,0.010180563,0,0,0.073319035,0,0.051318019
TCGA-AA-3715-01A-01R-0905-07,0.087995919,0,0.025569949,0.11258584,0,0.069200105,0,0.024922648,0.037126704,0,0.017028586,0.041726579,0,0.272672949,0.059731659,0.136963515,0,0,0,0.096315447,0,0.018160101
TCGA-AD-5900-01A-11R-1653-07,0.067707324,0,0,0.213609453,0,0.089566321,0.041383818,0.040251545,0.011057821,0,0.000753314,0.042879973,0,0.19215501,0.100557758,0.149875972,0.008300647,0,0.041901043,0,0,0
TCGA-CK-4948-01B-11R-1653-07,0.009581786,0,0,0.010158228,0,0.173190931,0.008703518,0.034519374,0.065229315,0,0.010893532,0.000885241,0,0.437877438,0.003349869,0.093516576,0,0.064352342,0,0.066476174,0,0.021265677
TCGA-EI-6507-01A-11R-1736-07,0.065227144,0,0,0.159961408,0,0.077235345,0.038208423,0.019295863,0.003732734,0,0.032554482,0,0,0.331546214,0.034806817,0.069967473,0,0,0,0.130348331,0,0.037115768
TCGA-CM-6169-01A-11R-1653-07,0.020962408,0,0.028194098,0.070558103,0,0.082988803,0.124658969,0.017952854,0.035301288,0,0.0057884,0,0,0.34244535,0.06218604,0.140928496,0.005852881,0,0,0.04194634,0.016450145,0.003785826
TCGA-AM-5821-01A-01R-1653-07,0.00926464,0,0.098545057,0.256533736,0,0,0.130049997,0.026549715,0,0,0.053649687,0,0.012941613,0.065241648,0.164251389,0.100272867,0.009539549,0.003920286,0,0.043071762,0.009655189,0.016512864
TCGA-A6-6780-01A-11R-1839-07,0.016428732,0,0,0.131175346,0,0.11140533,0.102962114,0.047481662,0.014321772,0,0,0.095296291,0.006299675,0.146934581,0.083708667,0.185460687,0.045898243,0,0,0,0.012626899,0
TCGA-F5-6571-01A-12R-1830-07,0.037237452,0,0.038570917,0.044390249,0,0.19540341,0.05333877,0,0.040675159,0,0,0.002934931,0,0.326461227,0.040473424,0.116046254,0.052396227,0.002548234,0.049523746,0,0,0
TCGA-AG-3609-01A-02R-0826-07,0.016090095,0,0.049154359,0.115287224,0,0.071558225,0.020327342,0.029632425,0.082825501,0,0,0.033222728,0,0.305181242,0.042114424,0.168507885,0.003535064,0.005352375,0,0.048733915,0,0.008477196
TCGA-AA-3866-01A-01R-1022-07,0.049755434,0,0.016178203,0.03664124,0,0.193480967,0.052950173,0.01903453,0.020046082,0,0.026948709,0,0,0.256029609,0.073286346,0.194600731,0.026155655,0,0,0.006703031,0,0.028189292
TCGA-A6-2682-01A-01R-1410-07,0.044110877,0,0.043342353,0,0,0.033999571,0.03775196,0.000974454,0.039463496,0,0.029702984,0,0,0.34960456,0,0.020603898,0,0,0,0.370647394,0,0.029798452
TCGA-A6-6142-01A-11R-1774-07,0.033791942,0,0.014987837,0.011868413,0,0.029969654,0,0.025804303,0.08635397,0,0.064274284,0,0,0.496957409,0.02997547,0.046236073,1.51E-05,0,0,0.129686567,0.013970783,0.016108204
TCGA-AD-6964-01A-11R-1928-07,0.002285949,0,0.011612602,0.197682887,0,0.114155756,0.045502299,0.053708818,0.053088966,0,0,0.016073713,0,0.171752204,0.111546466,0.15240404,0.021459997,0,0.043890056,0,0,0.004836246
TCGA-D5-5541-01A-01R-1653-07,0.039814446,0,0,0.016288074,0,0.021635777,0.028665401,0.025209501,0.036609653,0,0,0,0,0.57871091,0.084522141,0.132911418,0.014862054,0,0.01577439,0,0.004996235,0
TCGA-AA-3543-01A-01R-0826-07,0.001015546,0,0.016948818,0.310771667,0,0.077521179,0.097668804,0.047804114,0.054298568,0,0.05022026,0.002007504,0.008337305,0.076136689,0.119878691,0.096176561,0.010953632,0,0.024818068,0,0,0.005442594
TCGA-A6-6781-01A-22R-1928-07,0.007754641,0,0,0.078846575,0,0.144474353,0,0.000741091,0.007311475,0,0.051099331,0,0,0.516026335,0.072057226,0.111995328,0.004031517,0,0.001405307,0,0,0.004256822
TCGA-D5-6531-01A-11R-1723-07,0,0,0.03520291,0.174193614,0,0.099782464,0.073882387,0.033208113,0.054147768,0.019475848,0,0.030096455,0,0.133266931,0.150509175,0.090874099,0.028753611,0.004916001,0.071690623,0,0,0
TCGA-D5-6530-01A-11R-1723-07,0.014734775,0,0,0.076792451,0,0.214660566,0.066247005,0.03894432,0.011532627,0,0.00662507,0.020024434,0,0.258758267,0.107977308,0.115116884,0.00396282,0,0,0.064623472,0,0
TCGA-NH-A5IV-01A-42R-A37K-07,0.006545644,0,0.036819136,0.142557972,0,0.122174537,0,0.034970626,0.00636368,0,0,0.118033066,0,0.194073143,0.056702017,0.20965389,0.010669236,0,0.061437053,0,0,0
TCGA-AA-A004-01A-01R-A00A-07,0.03613164,0,0.02574051,0.182060843,0,0,0,0.02350486,0.238879434,0,0,0.119411704,0,0.290988355,0.020531687,0.051992412,0,0,0.010758554,0,0,0
TCGA-AA-A02R-01A-01R-A00A-07,0.01640256,0,0,0.178911812,0,0.064130977,0.088308623,0.036197776,0.00848491,0,0,0.089881691,0.015466509,0.106450502,0.189457913,0.094170023,0.027852387,0,0.084284316,0,0,0
TCGA-AA-3966-01A-01R-1113-07,0.025674985,0,0.000986919,0.061380314,0,0.08680596,0.021297875,0.028157655,0.034212978,0,0.052101006,0,0,0.341760054,0.037801902,0.077519872,0.016899653,0.017450489,0,0.150661194,0.019488796,0.027800347
TCGA-A6-3808-01A-01R-1022-07,0.052731236,0,0.008274194,0.021834307,0,0.172980708,0.006804864,0.041221477,0.033950976,0,0,0.022061091,0,0.255436534,0.07377308,0.138614928,0.007268798,0,0,0.114518971,0.024733125,0.025795711
TCGA-AZ-6601-01A-11R-1774-07,0.04705643,0,0,0.013172909,0,0.161163979,0.020243419,0.024265114,0.053533881,0,0.01222505,0.016404707,0,0.37863818,0.122376385,0.134487111,0.012512533,0,0,0.003920303,0,0
TCGA-WS-AB45-01A-11R-A41B-07,0.036275695,0,0.009532893,0.002206447,0,0.147382816,0.039620518,0,0,0.001298057,0.029201511,0,0,0.273209131,0.035244923,0.181102166,0,0,0,0.053207505,0.011430071,0.180288267
TCGA-AA-3950-01A-02R-1022-07,0.026315784,0,0,0.06327267,0,0.202229339,0.03772601,0,0.002478406,0,0.028409974,0.002880114,0.003634546,0.269910782,0.053714777,0.138886135,0.004965674,0.000360391,0,0.119591347,0.002400987,0.043223064
TCGA-AZ-4323-01A-21R-1839-07,0.187269257,0,0.094453222,0.127638824,0,0.235176506,0.010715222,0.049789725,0.100713896,0,0.003637251,0,0,0.074836255,0.030079939,0.067224503,0,0,0,0.018465399,0,0
TCGA-AA-3812-01A-01R-0905-07,0.003014573,0,0.029368443,0.049119532,0,0.028899908,0,0.013590599,0.096219839,0,0,0.005648917,0,0.64085981,0.017407953,0.039973104,0.022964219,0,0,0.052933102,0,0
TCGA-G4-6299-01A-11R-1774-07,0.007582986,0,0.049181798,0.244116771,0,0.103378074,0.069681212,0.019222869,0.051241099,0,0.039232339,0,0.003048404,0.180195969,0.055604887,0.1545767,0.006278854,0,0.016658036,0,0,0
TCGA-CM-6677-01A-11R-1839-07,0.05212791,0,0.137420816,0.05321954,0,0.137244457,0.127438149,0,0,0,0.024146712,0,0,0.211315744,0.081751037,0.089279651,0.025952202,0,0.060103781,0,0,0
TCGA-F4-6703-01A-11R-1839-07,0,0,0.024133547,0.059397803,0,0.075985941,0.042976235,0.027435375,0.03717225,0,0.098039991,0,0.002009348,0.306478864,0.107489047,0.110658772,0,0,0,0.09700095,0,0.011221877
TCGA-AA-3527-01A-01R-0821-07,0.04360884,0,0,0.166957733,0,0,0.052920641,0.030554025,0.045350584,0,0.011222776,0.013748639,0,0.439666023,0.084895617,0.074379789,0.021687672,0,0.015007662,0,0,0
TCGA-A6-5664-01A-21R-1839-07,0.036979269,0,0.045349723,0.101685686,0,0.157957866,0.006955878,0,0.048177227,0,0.037813977,0,0.01912594,0.107464259,0.030604706,0.211136187,0.022156748,0.018611058,0,0.146033032,0.002676882,0.007271563
TCGA-AA-3514-01A-02R-0821-07,0.003566311,0,0.004436015,0.130705686,0,0.050523141,0,0,0.148897678,0,0,0.048290027,0,0.39873824,0.028338463,0.100516835,0.058812882,0,0.026959925,0,0,0.000214799
TCGA-AZ-6598-01A-11R-1774-07,0.009888469,0,0,0.053030863,0,0.266568119,0,0.015888752,0,0,0.081384828,0.063864757,0.013852932,0.150640189,0.088509827,0.157942355,0.031091996,0,0.067336915,0,0,0
TCGA-D5-6930-01A-11R-1928-07,0.110368409,0,0.080985568,0.137210479,0,0.168060984,0.002064297,0.04179488,0.011818238,0,0,0.075908101,0,0.151759714,0.124001252,0.070716666,0.007833239,0,0,0.017478172,0,0
TCGA-AD-6901-01A-11R-1928-07,0.002253665,0,0,0.048576645,0,0.151625634,0,0.049410513,0.022108352,0,0,0.027314514,0,0.390117025,0.119997046,0.125111087,0.016304978,0,0.047180539,0,0,0
TCGA-A6-2676-01A-01R-0826-07,0.001933928,0,0.001740059,0.09050227,0,0.128577964,0.136494603,0.007034451,0.006020022,0,0.079217486,0.008315028,0,0.201750748,0.130043769,0.158012289,0.010365161,0,0,0.005655681,0.024108877,0.010227665
TCGA-AZ-4615-01A-01R-1410-07,0,0,0.001646617,0.289922206,0,0.152598287,0.125534095,0.019359626,0.003069579,0.012749038,0.018930765,0,0,0.116415151,0.112048463,0.108657205,0.004968446,0,0.034100523,0,0,0
TCGA-CM-6168-01A-11R-1653-07,0.034039842,0,0.008325376,0.029533531,0,0.142271495,0,0.040108673,0.050123733,0,0.002711941,0,0,0.266104402,0.086511333,0.158800073,0.024439666,0,0,0.100919641,0.023986122,0.032124172
TCGA-A6-2672-01A-01R-0826-07,0.025399716,0,0,0.156887741,0,0.106179152,0.087051802,0.020111068,0.030568659,0,0.083353241,0,0,0.267758203,0.08892805,0.062970126,0.000279117,0.001737017,0,0.055689761,0,0.01308635
TCGA-G4-6588-01A-11R-1774-07,0.003497082,0,0,0.015581078,0,0.26957,0,0.045114276,0.026693724,0,0.036825788,0,0,0.237394149,0.038356968,0.109510812,0,0,0,0.197483537,0,0.019972588
TCGA-AA-A01P-01A-21R-A083-07,0.02209112,0,0.097259721,0.238258267,0,0.070430206,0.069071559,0.000969871,0.054603451,0,0.045309053,0.007282222,0,0.126105451,0.147609082,0.099387037,0.00222702,0,0,0,0,0.01939594
TCGA-AA-3684-01A-02R-0905-07,0.00267663,0,0.013377537,0.051580961,0,0.093410566,0,0.009942045,0.13371382,0,0,0,0,0.306198924,0.02057537,0.223813682,0.033734314,0,0,0.068394156,0.00255924,0.040022755
TCGA-AA-A00R-01A-01R-A002-07,0.009444788,0,0,0.260401752,0,0,0.181944187,0.039193172,0.032797139,0,0.06957632,0.059308865,0,0.189987311,0.070225448,0.079009642,0,0.008111376,0,0,0,0
TCGA-A6-2674-01A-02R-0821-07,0.0088402,0,0.021794089,0.023221252,0,0.09583558,0,0.004050372,0.016635808,0,0,0.006841991,0,0.261745866,0.021580041,0.144444936,0,0,0,0.218186183,0.029268399,0.147555285
TCGA-F5-6465-01A-11R-1736-07,0.074324668,0,0.086637942,0.04485213,0,0.165557588,0.07345337,0.020428979,0.00944415,0,0.073776271,0,0.018195133,0.219965729,0.100104626,0.077517571,0.009011517,0,0,0.026730326,0,0
TCGA-F5-6814-01A-31R-1928-07,0.05837583,0,0,0.007292818,0,0.199411632,0.05890264,0.043823896,0.006199349,0.013202962,0.014176957,0.036659845,0,0.269474423,0.140528849,0.100514362,0.02166368,0,0.029772757,0,0,0
TCGA-AZ-6603-01A-11R-1839-07,0.047388953,0,0.036044796,0.053201798,0,0.194536966,0.057367454,0.025466872,0.020580441,0,0,0.008092465,0.006459675,0.110491713,0.165983115,0.129886451,0.067022502,0,0.07159231,0,0,0.005884488
TCGA-D5-6923-01A-11R-A32Z-07,0.004449255,0.003665748,0,0,0,0.180861816,0.002930614,0.022810706,0.028803163,0,0.095664715,0,0,0.450081769,0.011094892,0.055685538,0,0.015586315,0,0.128365469,0,0
TCGA-A6-2684-01A-01R-1410-07,0.010134749,0,0,0.058610974,0,0.007389534,0,0.035829584,0.117404914,0,0.007558072,0,0,0.443234429,0.0708557,0.160796193,0.039355244,0,0,0.048614415,0.000216193,0
TCGA-F4-6704-01A-11R-1839-07,0.054254337,0,0.155393359,0.017104374,0,0.133888625,0.00491634,0,0.053158896,0,0,0.007067804,0,0.326444129,0.073962642,0.138615227,0.008693645,0,0.026500622,0,0,0
TCGA-EI-6509-01A-11R-1736-07,0.001031635,0.009613456,0.011166073,0.025460246,0,0.049572009,0,0.003275029,0.023198592,0,0.068483385,0,0,0.708666596,0.000768362,0.044562442,0.004614031,0,0,0.049588143,0,0
TCGA-AA-A01R-01A-21R-A083-07,0.00942116,0,0,0.250338488,0,0.042189131,0.0115422,0.055359149,0.104560874,0,0,0.101834055,0,0.242199212,0.072975666,0.062560453,0.007978772,0,0.03904084,0,0,0
TCGA-CM-5348-01A-21R-1723-07,0.021028919,0,0,0.00656688,0,0.04883322,0,0,0.024461222,0,0,0.007386202,0,0.737951274,0.018424011,0.064343129,0.025169648,0.00334025,0.042495245,0,0,0
TCGA-G4-6627-01A-11R-1774-07,0.063107787,0,0.09317632,0.128273693,0,0.19852609,0.001710042,0.041676813,0.04493063,0.002630104,0,0.026389957,0,0.061033379,0.117952541,0.082603961,0.048283944,0.005061855,0.064227238,0,0.019866319,0.000549326
TCGA-CK-5916-01A-11R-1653-07,0.012815207,0,0.017665231,0.140782617,0,0.177099643,0.008958681,0.041073095,0.008257994,0,0,0.108502686,0.01286603,0.058618318,0.123169086,0.150930525,0.06480097,0,0.074459918,0,0,0
TCGA-D5-6529-01A-11R-1774-07,0.026153169,0,0.153907362,0.077463172,0,0.138510507,0.015793481,0,0.056613566,0,0.004559825,0,0,0.2105345,0.100796913,0.126232254,0.010883542,0,0,0.058638163,0,0.019913545
TCGA-EI-6511-01A-11R-1736-07,0,0,0.138286799,0.134158842,0,0.034580283,0.08962075,0.014582878,0.054427588,0.009090424,0.007157939,0,0,0.326567736,0.085496845,0.088794041,0,0,0,0.01173461,0,0.005501265
TCGA-AG-3878-01A-02R-0905-07,0.037089805,0,0.022669579,0.160627163,0,0.1218663,0.080491493,0.007685143,0.046476756,0,0.012717238,0.030943129,0,0.124474169,0.083028462,0.201339315,0.021211541,0,0.016555231,0,0,0.032824676
TCGA-CM-6167-01A-11R-1653-07,0.046557463,0,0.032325818,0.035243163,0,0.199533858,2.51E-05,0.030432381,0.034726245,0,0,0.031084351,0,0.034805068,0.088815522,0.158341485,0.041382006,0,0.246781769,0,0.01994577,0
TCGA-AY-6386-01A-21R-1723-07,0.034736485,0,0.15058694,0.012406666,0,0.187789793,0.015710718,0.029551218,0.033374417,0.010317823,0.023187495,0,0,0.304411551,0.048604602,0.068160145,0.017715188,0,0,0.053791619,0.004897914,0.004757425
TCGA-AA-3947-01A-01R-1022-07,0.051547972,0,0,0.005796951,0,0.306919659,0.026668791,0,0,0,0,0.023548943,0,0.054464652,0.109006304,0.20662244,0.02704156,0.007225859,0,0.062773842,0.035324552,0.083058475
TCGA-AF-2687-01A-02R-1736-07,0.025412862,0,0.023305548,0.091989011,0,0.064393539,0.037971416,0.00712832,0.021978987,0,0.008437981,0.003337966,0,0.332653888,0.183187255,0.140803022,0.005969477,0,0.01734524,0,0.013556482,0.022529005
TCGA-EI-6885-01A-11R-1928-07,0.006086271,0,0.009175651,0.037849261,0,0.135174497,0.109119892,0,0.003193667,0,0.027248282,0,0,0.392654928,0.050363829,0.060559315,0,0.040514631,0,0.1109237,0.000463998,0.016672077
TCGA-D5-6926-01A-11R-1928-07,0.014572375,0,0.036122484,0.041263504,0,0.035976232,0.004263977,0.011280584,0.037146504,0,0.005323081,0.002096443,0,0.526370673,0.109252491,0.059063217,0,0,0,0.103127608,0,0.014140827
TCGA-G4-6323-01A-11R-1723-07,0.352470506,0,0.17949499,0.090291484,0,0.208134247,0.018168157,0.01401078,0.026827183,0,0.009598244,0,0,0.030483239,0.024107222,0.043066489,0,0.000355447,0.002992012,0,0,0
TCGA-F4-6805-01A-11R-1839-07,0.043023729,0,0.015063483,0.034329333,0,0.181587167,0.005785211,0.02533704,0.046783942,0,0,0.006611999,0.003611252,0.158040522,0.081403213,0.114386665,0.158777574,0,0,0.108731451,0.006237337,0.01029008
TCGA-AA-A00D-01A-01R-A002-07,0.007970229,0,0.060238175,0.199233949,0,0.074355775,0.09607744,0.003399136,0.055075473,0,0,0.068987173,0,0.071532838,0.118353549,0.117768771,0.036219091,0.014490368,0.071759175,0,0,0.004538859
TCGA-AA-3672-01A-01R-0905-07,0.012694822,0,0.006097327,0.22082885,0,0.073488757,0.174589273,0.011027148,0.025311931,0,0.058244942,0.037664937,0,0.173251745,0.09527069,0.077148757,0.016966316,0,0,0,0,0.017414504
TCGA-CK-4951-01A-01R-1410-07,0.003444132,0,0.006999137,0.080922481,0,0.114662611,0.058872772,0.031635564,0.051809476,0,0.014197424,0.037274618,0,0.237027621,0.158331578,0.140400962,0.000623285,0.00433925,0,0.020799264,0,0.038659826
TCGA-D5-5538-01A-01R-1653-07,0.008878818,0,0.037129396,0.013883904,0,0.046651996,0,0.021877215,0.085769214,0,0.064880827,0,0,0.383210623,0.024988806,0.154761556,0.009699966,0,0,0.116729763,0.019635348,0.011902568
TCGA-AF-4110-01A-02R-1736-07,0.031287315,0,0.262136559,0.004148616,0,0.096121092,0.032763637,0,0.044516406,0.008511159,0.02333821,0,0,0.251135326,0.041753155,0.145638399,0.006154823,0,0,0.040359672,0.012135633,0
TCGA-CM-4751-01A-02R-1839-07,0.008816916,0,0.069084242,0.133649135,0,0.173654567,0.048171768,0.018851313,0.008616744,0,0,0.066151363,0.003963189,0.089712588,0.158935749,0.080700876,0.027753856,0,0.111762476,0,0.000175217,0
TCGA-AG-3881-01A-01R-0905-07,0.028973807,0,0,0.088089613,0,0.174424951,0.00088931,0.011245682,0.036506466,0,0.033396027,0,0.004860132,0.222469003,0.056958177,0.149665975,0.012513517,0,0,0.084103957,0.071456376,0.024447006
