id,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils
TCGA-EE-A29P-06A-11R-A18T-07,0,0,0.033812143,0.446917824,0,0,0.011432571,0.053973508,0.076399407,0.003601281,0,0.033878626,0.012802968,0.134046221,0.073218649,0.102621812,0.003715805,0,0.013579185,0,0,0
TCGA-EE-A3JB-06A-11R-A21D-07,0.003793425,0,0,0.026957662,0,0.149025725,0.003170844,0.013762303,0.02423566,0,0,0.017564865,0.038513549,0.408502069,0.062906548,0.244820876,0,0,0.006746474,0,0,0
TCGA-D9-A6EC-06A-11R-A311-07,0.015635046,0,0.002407806,0.02338577,0,0.008549658,0,0.041786208,0.022268705,0.004125656,0,0.021390278,0,0.549221891,0.064616297,0.20551808,0,0,0.041094606,0,0,0
TCGA-W3-AA1W-06A-11R-A38C-07,0.018704507,0,0.010690431,0.418976146,0,0,0.088948532,0.075604444,0.058235813,0,0,0.013353793,0,0.103346926,0.107655384,0.087461078,0.009867182,0,0.007155766,0,0,0
TCGA-EE-A29G-06A-12R-A18T-07,0.000777864,0,0.012133084,0.044502505,0,0.061940134,0.013823464,0.024727822,0.022915136,0,0,0.049120715,0,0.511255661,0.056089631,0.058230213,0.04750864,0,0.096975132,0,0,0
TCGA-D3-A2J8-06A-11R-A18T-07,0.020181198,0,0.016566015,0.331358222,0,0,0.078363799,0.048396146,0.057019162,0,0.061331597,0.014875834,0.001368554,0.070885061,0.183470998,0.116183414,0,0,0,0,0,0
TCGA-ER-A2NG-06A-11R-A18T-07,0.000357439,0,0.007264988,0.412095712,0,0,0.085408926,0.033516606,0.035656552,0.028093389,0.016304316,0.016877011,0,0.153162481,0.097593284,0.076393908,0.001202939,0.001207757,0.034864693,0,0,0
TCGA-EE-A2MI-06A-11R-A18U-07,0,0.092960556,0,0.139286803,0,0.131893138,0.018168723,0.051810138,0.036469284,0,0,0.004300955,0.041187141,0.032318329,0.171565527,0.226369209,0.02613112,0,0.016090103,0,0.011448975,0
TCGA-ER-A19S-06A-11R-A18U-07,0,0.004741228,0.086009455,0.342273251,0,0,0.050039296,0.060254528,0.054315915,0.057312999,0,0,0,0.218016825,0.064094845,0.052597691,0,0,0,0.010343965,0,0
TCGA-ER-A2NH-06A-11R-A18S-07,6.95E-05,0,0.020660421,0.429619977,0,0,0.137075499,0.0426739,0.053632529,0,0,0.031002461,0.030286338,0.034964952,0.088750836,0.090131075,0.006162847,0,0.034969643,0,0,0
TCGA-D3-A3C7-06A-11R-A18U-07,0.006600793,0,0.00543545,0.161430266,0,0,0.020421543,0.030480022,0.026052581,0.01134257,0,0,0,0.452713341,0.0679473,0.131659613,0.042808847,0,0,0.043107673,0,0
TCGA-ER-A19N-06A-11R-A18S-07,0.008622783,0,0.066691084,0.208707912,0,0.040594977,0.026621542,0.012775431,0.059401076,0.000236937,0,0.01878321,0.020077744,0.277324022,0.058261837,0.159392784,0.017898908,0,0.024319383,0,0,0.00029037
TCGA-D3-A3CB-06A-11R-A18S-07,0.007500865,0.015205873,0.055838261,0.230913771,0,0,0.035514545,0.039594201,0.056018236,0,0,0,0,0.342237534,0.050869238,0.145826719,0.000558913,0,0.019921845,0,0,0
TCGA-DA-A1HW-06A-11R-A18U-07,0.025530137,0,0.064832699,0.349149412,0,0.030710548,0.055358627,0.049576933,0.048740919,0.014825673,0,0.044567167,0.00188714,0.072714874,0.114650818,0.039561991,0.024041671,0,0.063851391,0,0,0
TCGA-ER-A196-01A-11R-A18T-07,0.001507961,0,0.055827741,0.001926707,0,0.027296408,0,0.006487504,0.055589842,0,0,0.011454019,0,0.523390148,0,0.101139188,0,0.110543538,0,0.074278129,0,0.030558814
TCGA-WE-A8K1-06A-21R-A37K-07,0.008481855,0,0.044593063,0.296654383,0,0,0.016589713,0.063719467,0.094858562,0.004856239,0,0.092119075,0.011064085,0.17664654,0.105848077,0.0778158,0.006753141,0,0,0,0,0
TCGA-D3-A2JO-06A-11R-A18S-07,0,0,0.072265156,0.276342055,0,0.037932071,0.102909661,0.01471328,0.008422275,0.004468116,0.036186499,0,0,0.267233659,0.078907752,0.064162289,0.01392536,0,0.022531827,0,0,0
TCGA-GF-A3OT-06A-23R-A239-07,0.020027484,0,0.014468119,0.17287629,0,0.054786623,0.045804263,0.042059573,0.025853757,0,0.002990796,0,0,0.313589939,0.083813853,0.160485221,0.000965371,0,0,0.060538831,0,0.00173988
TCGA-D3-A8GD-06A-11R-A37K-07,0.096555781,0,0.030585077,0.177290812,0,0.078356277,0.083164717,0.053056993,0.043292913,0.074502274,0,0.031713626,0,0.145050637,0.095501822,0.068916681,0,0,0.022012393,0,0,0
TCGA-DA-A1I7-06A-22R-A18S-07,0.004527733,0,0.031799606,0.114451144,0,0.081589847,0.008867302,0.054036094,0.045713248,0,0,0.012857838,0,0.451606,0.081267551,0.098111325,0,0,0.015172311,0,0,0
TCGA-ER-A3ET-06A-11R-A20F-07,0.033704734,0.006882493,0.01326188,0.034131632,0,0.176920708,0.016827899,0,0.079005045,0,0,0.004127885,0.122246482,0.06860765,0.08028376,0.299546759,0.032147154,0.005285374,0.027020544,0,0,0
TCGA-ER-A1A1-06A-11R-A18U-07,0.193547225,0.187187258,0.021161756,0.110329485,0,0.104976476,0.047355609,0.026893547,0.128113984,0,0.007819424,0,0.005732699,0.077888865,0.008045965,0.054977645,0,0.013998963,0.011971099,0,0,0
TCGA-FS-A4F8-06A-11R-A266-07,0.059986423,0.106168022,0.061552497,0.166369368,0,0.166075851,0.005990688,0.033321313,0.131806083,0,0,0.010588524,0,0.098187681,0.070268829,0.063249924,0.002926689,0,0.023508108,0,0,0
TCGA-EE-A2MJ-06A-11R-A18S-07,0.109569885,0,0,0.256194314,0,0.034291346,0.094613802,0.059911206,0.06904424,0,0,0.051890366,0,0.076898569,0.092454506,0.081221125,0.012234646,0,0.058988576,0,0,0.002687421
TCGA-D3-A1Q4-06A-11R-A18T-07,0.04428322,0,0.074913605,0.016948933,0,0.148678878,0,0.013344587,0.034304127,0,0,0.023408791,0,0.345891001,0.08448811,0.151766302,0.002450757,0,0.059521688,0,0,0
TCGA-EE-A3AG-06A-31R-A18S-07,0,0.033986905,0.006560361,0.072821942,0,0,0,0.019907155,0.053035717,0,0,0.000563377,0,0.797147784,0.005111447,0,0,0,0.010865312,0,0,0
TCGA-EB-A5SG-06A-11R-A311-07,8.14E-05,0,0.121921157,0.38904447,0,0,0.122376257,0.028387996,0.015702079,0.024732171,0,0.016889385,0,0.093170928,0.096053982,0.060581668,0.009257707,0,0.021800773,0,0,0
TCGA-BF-A1Q0-01A-21R-A18S-07,0.036701179,0,0.057995362,0.142648104,0,0.067685153,0.001881644,0.039205827,0.039628394,0,0,0.061425676,0.003259519,0.087704485,0.198948804,0.118623189,0.092209021,0,0.052083644,0,0,0
TCGA-D3-A3CE-06A-11R-A18S-07,0,0,0.217969309,0.259503192,0,0.064496249,0.013722814,0.031562677,0.048436639,0,0,0.075960139,0.037528294,0.047992481,0.086468901,0.049419836,0.01825188,0,0.048687589,0,0,0
TCGA-EE-A3J5-06A-11R-A20F-07,0.016543044,0,0.126327602,0.160733829,0,0.092427915,0.010224527,0.068265799,0.011600324,0,0,0.018852412,0.014546283,0.118717136,0.163496248,0.084620301,0.045857743,0,0.056723136,0,0.011063702,0
TCGA-EE-A2GH-06A-11R-A18T-07,0,0,0.156374333,0.34117154,0,0,0.067936726,0.049169481,0.023229249,0.027683436,0,0.042525976,0,0.121891468,0.061689161,0.051390352,0.01358089,0,0.043357387,0,0,0
TCGA-EE-A2GT-06A-12R-A18S-07,0.164676809,0,0.064876912,0.159821322,0.085548223,0,0,0.061774189,0.092549372,0,0,0.02680538,0.003055972,0.110612614,0.017654398,0.173944083,0.017740895,0,0.020939832,0,0,0
TCGA-ER-A19E-06A-11R-A18S-07,0.020084644,0,0.053202599,0.090346795,0,0.151225204,0,0.01571744,0.01964071,0,0.004360971,0,0,0.407886845,0.062132816,0.166373997,0,0,0.009027979,0,0,0
TCGA-HR-A2OH-06A-11R-A18U-07,0,0,0.042105389,0.440426612,0,0,0.091505253,0.062960764,0.028961075,0.009420906,0,0.017102541,0.015254487,0.125175157,0.08504405,0.073784617,0.00825915,0,0,0,0,0
TCGA-FS-A1ZA-06A-11R-A18T-07,0.017911864,0,0.112903185,0.116364518,0,0,0.0396899,0.07534303,0.045387177,0,0.005926848,0.024820427,0.003048661,0.279913641,0.15117219,0.088327599,0.007825795,0,0.031365165,0,0,0
TCGA-DA-A1HY-06A-11R-A18T-07,0.002945603,0.001322571,0.009632714,0,0,0.125345163,0.004514235,0.018709954,0.044430688,0.041019978,0.052799034,0,0,0.619394736,0.002343488,0,0,0.002795676,0,0.072994167,0.001751992,0
TCGA-FR-A7U9-06A-11R-A352-07,0,0.014413506,0.050256701,0.057213889,0,0.150040903,0,0.0212566,0.042448107,0.004098402,0,0.038964418,0,0.19605624,0.11533793,0.291965905,0.005592262,0,0.010979671,0,0,0.001375465
TCGA-ER-A42L-06A-11R-A24X-07,0,0,0.051842812,0.323174343,0,0,0.079440579,0.048023107,0.046892071,0.034825366,0,0.025568985,0.098699745,0,0.066916987,0.144263257,0.044605736,0,0.035747012,0,0,0
TCGA-ER-A19M-06A-61R-A239-07,0.009879818,0,0,0.304272331,0,0.082218367,0.032859922,0.057507684,0.010620898,0,0,0.05276957,0.018605072,0.174443553,0.097697242,0.091642177,0.006818047,0,0.060665316,0,0,0
TCGA-FS-A1ZD-06A-11R-A18T-07,0.001553017,0,0,0.026638322,0,0.044595117,0,0,0,0,0.054891343,0.070921036,0,0.338478281,0.004529424,0.342464013,0,0,0.115929447,0,0,0
TCGA-ER-A19G-06A-11R-A18U-07,0.005300992,0,0.037764998,0.069797919,0,0.117912257,0.03504514,0.024929737,0.013000763,0.025306526,0.023607257,0.025162659,0,0.372241933,0.115220572,0.091194441,0,0,0.043514806,0,0,0
