id,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils
TCGA-BR-8366-01A-11R-2343-13,0.028721207,0,0.040112132,0.091518282,0,0.125445268,0.110296667,0.021535299,0.022084134,0.025674782,0,0.060414384,0,0.075749825,0.160931606,0.155857459,0.037538602,0,0.044120352,0,0,0
TCGA-BR-8291-01A-11R-2343-13,0.024808654,0,0.005139316,0.175607849,0,0.120341627,0.028391362,0,0.070587571,0,0,0.034336875,0.012392372,0.02332113,0.018734367,0.29238426,0.061110451,0,0.13040639,0,0.002437776,0
TCGA-VQ-A94P-01A-13R-A414-31,0.071498308,0,0.016009123,0.132907613,0,0.323881532,0,0.016748502,0.048107124,0,0,0.068971077,0.045039151,0,0.082484673,0.127966267,0.008466243,0,0.056395379,0,0.001525006,0
TCGA-FP-A4BF-01A-12R-A36D-31,0.01798537,0,0.055209498,0.172936216,0,0.176782657,0.111170202,0.029702616,0,0,0,0.079744808,0.004199521,0.072497493,0.070922844,0.124418056,0.025337764,0.004683315,0.05440964,0,0,0
TCGA-VQ-A8PD-01A-11R-A414-31,0.05170275,0.104753113,0.080767115,0.120653272,0,0.311574068,0.045521634,0,0.051152417,0,0.046135624,0,0.002610048,0.055741057,0.044977063,0.038461762,0.016532009,0.011178233,0,0.006499421,0,0.011740414
TCGA-BR-6563-01A-13R-2055-13,0.119100196,0,0.095469547,0.24644465,0,0.077449035,0.01927445,0.014733922,0.073063617,0,0,0.014683013,0.013929604,0.083457186,0.058110123,0.069800601,0.07049311,0,0.043990947,0,0,0
TCGA-MX-A666-01A-11R-A31P-31,0.334787384,0,0.053374548,0.024920865,0,0.226821929,0,0.017631655,0.106814151,0,0,0.062986979,0,0.079720121,0.001949968,0.022176093,0,0.007012055,0.060353361,0,0,0.001450891
TCGA-BR-6709-01A-11R-1884-13,0.00645271,0,0.069994084,0.225432074,0,0.15343675,0.066463358,0.024498092,0.065448818,0,0.009280201,0,0.009407674,0.111462468,0.0731269,0.18459353,0,0,0.000403342,0,0,0
TCGA-BR-6455-01A-11R-1802-13,0.069188979,0,0,0.253415778,0,0.117840068,0.01990232,0.019107164,0.09606081,0,0.016961423,0,0.029936468,0.132371493,0.10680042,0.117181871,0.013469377,0,0,0.00776383,0,0
TCGA-RD-A7BS-01A-11R-A32D-31,0.073806904,0.110561734,0.007774554,0.063427392,0,0.124405978,0,0.040523908,0.087281843,0,0,0.06963141,0,0.131762435,0.159476269,0.032883234,0,0.018408682,0.080055657,0,0,0
TCGA-HU-8238-01A-11R-2343-13,0.087122813,0,0.028907778,0.069919525,0,0.141414836,0,0.030499083,0.094122606,0,0,0.032688863,0.005273581,0.141242992,0.05550876,0.088148197,0,0.035693021,0.149823422,0.027834565,0,0.011799958
TCGA-R5-A7ZI-01A-11R-A354-31,0.017459209,0.001696131,0.040842128,0.223270698,0,0.071212538,0.106604335,0.064321504,0.105281233,0,0.009388892,0,0.001099702,0.031132878,0.038748617,0.173410608,0,0.090221308,0,0.023104537,0,0.00220568
