id,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils
TCGA-05-4249-01A-01R-1107-07,0.002130613,0.023684753,0.07979112099999999,0.030423283,0.0,0.097956845,0.0,0.034192041,0.029121077000000002,0.0,0.0,0.006224166999999999,0.010681462,0.009017981999999999,0.03881569,0.116086594,0.35165809200000003,0.007345148,0.13960171300000002,0.0,0.0,0.023269419
TCGA-05-4250-01A-01R-1107-07,0.019897046,0.0,0.028131536000000002,0.121202459,0.0,0.15346132199999998,0.060040323,0.054603396,0.0,0.001783145,0.0,0.08436339300000001,0.004493278,0.055821729,0.094816255,0.196107397,0.042287304000000005,0.0,0.070442163,0.0,0.002304557,0.010244698
TCGA-05-4382-01A-01R-1206-07,0.0,0.0,0.14479439800000002,0.038010619,0.0,0.141085191,0.01531148,0.0013839420000000002,0.027210623,0.0,0.0,0.013279798999999998,0.0,0.21815925,0.057370033,0.299404289,0.003915617,0.0,0.014264583999999999,0.0,0.0,0.025810175
TCGA-05-4384-01A-01R-1755-07,0.0,0.0,0.034666366000000004,0.040411989,0.0,0.189400757,0.0,0.008794291999999999,0.0,0.0,0.025537445,0.008939196,0.008852508,0.15980237,0.029135225,0.354672981,0.077459645,0.012526838,0.026913679,0.0,0.0,0.02288671
TCGA-05-4389-01A-01R-1206-07,0.030895388,0.0,0.0,0.23231433399999998,0.0,0.031374753,0.070955825,0.023714087000000002,0.057480462999999996,0.0,0.016663046,0.0025654989999999997,0.007361005,0.087796481,0.110202491,0.137210656,0.11886308,0.004244562,0.067828822,0.0,0.000529508,0.0
TCGA-05-4390-01A-02R-1755-07,0.001822966,0.0,0.161372924,0.018353076,0.0,0.140513961,0.022789378,0.0,0.018621015,0.0,0.071428876,0.0,0.0,0.348921032,0.035475928999999996,0.15537855,0.0026781540000000003,0.0,0.0,0.014088503,0.0,0.008555635
TCGA-05-4395-01A-01R-1206-07,0.0,0.0,0.037386025,0.065554617,0.0,0.202919792,0.044557342,0.051761369,0.0173866,0.0,0.034821977000000004,0.036750501,0.053366175,0.041306608,0.09440365099999999,0.139282392,0.06965392200000001,0.041733967000000004,0.061867569000000004,0.0,0.001819251,0.0054282409999999994
TCGA-05-4397-01A-01R-1206-07,0.0,0.0,0.0,0.032117247,0.0,0.167898882,0.0,0.0,0.033217052000000004,0.0,0.0,0.030837204,0.013538826,0.144292921,0.153798632,0.292162552,0.046329441,4.1299999999999995e-07,0.08580683,0.0,0.0,0.0
TCGA-05-4398-01A-01R-1206-07,0.002713558,0.0,0.125354459,0.056359464000000005,0.0,0.142485964,0.006141213,0.032394911,0.02030117,0.0,0.047213415999999994,0.0,0.041430391000000004,0.10489179900000001,0.088848995,0.21325866699999999,0.079585512,0.0,0.0,0.032331942,0.002302615,0.004385924
TCGA-05-4402-01A-01R-1206-07,0.0,0.002994175,0.126970701,0.048432964,0.0,0.10379640400000001,0.0,0.028870421,0.041455342,0.0,0.0,0.024389967000000002,0.0,0.105735841,0.058046977,0.287073308,0.028359778999999998,0.036646557999999996,0.077476072,0.0,0.0,0.029751492
TCGA-05-4403-01A-01R-1206-07,0.021033347,0.0,0.059173,0.039424436,0.0,0.130558678,0.003249848,0.024926677999999997,0.020081078,0.0,0.017249922,0.0,0.022405513,0.258563698,0.08499992599999999,0.193035707,0.057100858,0.0,0.060632715999999996,0.0,0.0,0.007564594
TCGA-05-4405-01A-21R-1858-07,0.0,0.031619678,0.142839871,0.056296234,0.0,0.068913121,0.00447065,0.008908149,0.022185569,0.0,0.0017903110000000002,0.0006104680000000001,0.0,0.390612865,0.025030805,0.163185246,0.020284116,0.0,0.06279124,0.0,0.0,0.000461676
TCGA-05-4410-01A-21R-1858-07,0.0,0.019544874,0.272988262,0.13143867,0.0,0.124831527,0.046240011,0.05110919,0.005159648,0.0,5.12e-07,0.015323979,0.008384668,0.062238224,0.106722386,0.08995441400000001,0.013350915,0.000237409,0.052475311,0.0,0.0,0.0
TCGA-05-4415-01A-22R-1858-07,0.005362689,0.0,0.134826044,0.067502836,0.0,0.212488638,0.10676301,0.0,0.0,0.0,0.0,0.11092959699999999,0.011499017,0.072719068,0.081194728,0.064904698,0.0,0.014260101,0.096486015,0.0,0.0,0.021063558
TCGA-05-4417-01A-22R-1858-07,0.034612982,0.0,0.056014574000000004,0.042683183,0.0,0.219685011,0.077589731,0.024590828,0.023837893,0.0,0.0,0.035719891000000004,0.0,0.14544934699999998,0.064795013,0.15053872,0.043096588,0.017102251000000002,0.057782037,0.0,0.0,0.00650195
TCGA-05-4418-01A-01R-1206-07,0.035531238,0.0,0.166648864,0.030956105,0.0,0.149592835,0.074109655,0.001446738,0.011683188999999998,0.028527205,0.0,0.033341222000000004,0.0,0.10835509800000001,0.099588514,0.16724201800000002,0.013008483999999999,0.009085803,0.060809737,0.0,0.0,0.010073295999999999
TCGA-05-4422-01A-01R-1206-07,0.012076907,0.0015842389999999999,0.243550052,0.251415681,0.0,0.09566161699999999,0.013572923999999998,0.047658709,0.045898021,0.0,0.0,0.016363479,0.038722981000000004,0.043839777,0.053081024000000004,0.11891789900000001,0.015744399,0.0,0.001912291,0.0,0.0,0.0
TCGA-05-4424-01A-22R-1858-07,0.023314525,0.0,0.033849846,0.08526996,0.0,0.218212505,0.011436985,0.018073791999999998,0.012212885,0.0,0.012702278000000001,0.0,0.045584064,0.143108934,0.106811404,0.21558907,0.023560927000000002,0.007852933000000001,0.036448697,0.0,0.0,0.005971196
TCGA-05-4425-01A-01R-1755-07,0.010325512,0.0,0.0,0.003279288,0.0,0.18043425600000002,0.00284782,0.0,0.051645681,0.0,0.016247618000000002,0.0,0.0,0.22632449,0.07249108900000001,0.224796215,0.158149542,0.0,0.050886092,0.0,0.0,0.002572397
TCGA-05-4426-01A-01R-1206-07,0.03185902,0.0,0.002471202,0.045017494000000005,0.0,0.23514285899999998,0.0,0.0,0.055945607,0.0,0.0,0.017606141000000002,0.033559883,0.311933574,0.036042799,0.16553989800000002,0.005029602,0.0,0.025795335,0.0,0.0,0.034056588
TCGA-05-4427-01A-21R-1858-07,0.022048791,0.0,0.065303951,0.094833131,0.0,0.13056120000000002,0.06782951400000001,0.033552878,0.005606313000000001,0.0,0.002182338,0.006447984,0.04955921,0.06861552,0.082492304,0.17126493199999998,0.130010624,0.006351201999999999,0.057815368,0.0,0.003846015,0.001678724
TCGA-05-4430-01A-02R-1206-07,0.014971303,0.0,0.029704475,0.061614969000000006,0.0,0.070888544,0.016290788,0.031024789,0.029256932000000003,0.0,0.0,0.015925456,0.0,0.224641444,0.07054245599999999,0.179245205,0.11793557800000001,0.039167855,0.08596993800000001,0.0,0.0,0.012820266
TCGA-05-4432-01A-01R-1206-07,0.016193605,0.0,0.15882759300000002,0.10977783099999999,0.0,0.070907395,0.0,0.017868225,0.08232,0.0,0.001387079,0.026871767,0.0,0.273686786,0.106411277,0.113843755,0.0,0.0,0.0040411959999999995,0.0,0.0,0.017863491000000002
TCGA-05-4433-01A-22R-1858-07,0.01342161,0.0,0.002888092,0.09313868300000001,0.0,0.125888373,0.0,0.023837457000000003,0.019302229,0.0,0.0,0.01810276,0.0,0.332892081,0.108021551,0.152854773,0.024579445,0.0,0.064147716,0.0,0.0,0.020925231000000002
TCGA-05-4434-01A-01R-1206-07,0.03972436,0.0,0.027507812000000003,0.034234693,0.0,0.201301753,0.039679343,0.0,0.026950424,0.0,0.028422477,0.0,0.0,0.15307120300000002,0.168186633,0.17336425100000002,0.037914281,0.0,0.059923292999999996,0.0,0.0,0.009719476
TCGA-05-5420-01A-01R-1628-07,0.036542706,0.0,0.11190881,0.056546985,0.0,0.124339511,0.04635192900000001,0.005876686,0.0,0.00826288,0.0,0.022574266000000003,0.0,0.129504742,0.148530525,0.171969543,0.069214634,0.0,0.05019967,0.0,0.001714875,0.016462238
TCGA-05-5423-01A-01R-1628-07,0.012706773000000001,0.000303741,0.029055641,0.038026758,0.0,0.133452589,0.027697227,0.022275233999999998,0.037408262000000005,0.017102763,0.0,0.011239059,0.010889732,0.030725671,0.007138299,0.18627712,0.22311275100000003,0.050463257000000004,0.07639032,0.0,0.049098561,0.036636241
TCGA-05-5425-01A-02R-1628-07,0.030839301,0.0,0.06937575900000001,0.19962875800000002,0.0,0.09063887699999999,0.07979772,0.007665349,0.013491585,0.0,0.001224751,0.0,0.00763034,0.067562492,0.13889209,0.161689657,0.03613306,0.014797648,0.042188094,0.0,0.00829258,0.03015194
TCGA-05-5428-01A-01R-1628-07,0.004866926,0.0,0.019453458,0.069503103,0.0,0.114264616,0.0,0.0,0.020136963,0.0,0.0,0.0424911,0.003962499,0.07615599599999999,0.033948677000000003,0.31700442100000004,0.129149237,0.0,0.132080054,0.0,0.004194635,0.032788314
TCGA-05-5429-01A-01R-1628-07,0.044626967999999996,0.0,0.142994683,0.028944472000000002,0.0,0.265240987,0.0,0.029256264,0.045473937,0.008461185999999999,0.0,0.021610654,0.003857052,0.055874577,0.038708755,0.188050036,0.044929874,0.005850671,0.049425597,0.00367463,0.0,0.023019656
TCGA-05-5715-01A-01R-1628-07,0.0,0.016195393,0.0,0.02191952,0.0,0.130390884,8.05e-05,0.004227969,0.006012626,0.0,0.0,0.015029249,0.0,0.44460163799999997,0.010528751000000001,0.23986217199999998,0.00484295,0.026363324,0.071711521,0.0,0.0,0.008233502
TCGA-18-3406-01A-01R-0980-07,0.030789476,0.0,0.228696238,0.069825233,0.0,0.145351493,0.054627168,0.020189771999999998,0.0,0.015724447,0.000547671,0.0,0.000609586,0.03953721,0.113682866,0.10706977,0.084678843,0.0,0.023572289,0.0,0.027365247000000002,0.037732689
TCGA-18-3407-01A-01R-0980-07,0.016020984,0.0,0.247952442,0.044706622,0.0,0.155337387,0.004450637,0.021582711,0.010696691999999999,0.0,0.0,0.003453561,0.004537307,0.206618263,0.052303700999999994,0.13279168,0.003698419,0.020872471,0.056029349000000006,0.006339411999999999,0.0,0.012608362
TCGA-18-3408-01A-01R-0980-07,0.034720551,0.0,0.002410756,0.0,0.0,0.17929720100000002,0.021686422,0.027327722000000002,0.0,0.054968022000000005,0.0,0.047102178,0.004580219,0.0,0.059650614000000005,0.305606506,0.147358294,0.011758178999999999,0.101678302,0.0,0.001855035,0.0
TCGA-18-3409-01A-01R-0980-07,0.011897641,0.0,0.0,0.009448630999999999,0.0,0.17558400300000002,0.0,0.016586491999999998,0.004754588,0.005370916999999999,0.0,0.014022986999999999,0.0,0.171278758,0.115863605,0.274635434,0.136839251,0.0,0.055878410999999996,0.0,0.0,0.007839282
TCGA-18-3410-01A-01R-0980-07,0.01782361,0.0,0.059315848,0.18393425800000002,0.0,0.169259658,0.081338415,0.000729897,0.030824297999999997,0.0,0.0,0.0,0.0,0.199453957,0.167375261,0.062228067000000005,0.002267912,0.0,0.025448817000000002,0.0,0.0,0.0
TCGA-18-3411-01A-01R-0980-07,0.029561179,0.0,0.082449211,0.060027526,0.0,0.08405373199999999,0.084332726,0.025440602000000003,0.00417649,0.0,0.024229193,0.015533173999999999,0.050015405,0.096752899,0.079162737,0.201582703,0.10633440000000001,0.0,0.056348021,0.0,0.0,0.0
TCGA-18-3412-01A-01R-0980-07,0.036921128,0.0,0.098238373,0.068564074,0.0,0.121161331,0.038271304,0.032780498,0.008707995,0.0,0.00052973,0.0,0.026372727000000002,0.061939363,0.152999996,0.150798782,0.10108405300000001,0.007157706,0.04857466,0.0,0.026372938,0.019525342
TCGA-18-3414-01A-01R-0980-07,0.033233474,0.0,0.006353446,0.080639679,0.0,0.243538988,0.023917004,0.002462281,0.0,0.01762523,0.046416723,0.0,0.0,0.024187423,0.060231288,0.14711749,0.057436247,0.067336735,0.020927908999999998,0.007007923,0.0,0.16156815900000002
TCGA-18-3415-01A-01R-0980-07,0.050116797000000005,0.0,0.09652999999999999,0.151096117,0.0,0.16816358399999998,0.078974152,0.00120171,0.0,0.014908764,0.052503997000000004,0.0,0.004545124,0.047444098,0.134039119,0.120169235,0.069687532,0.0,0.00315997,0.0,0.0,0.007459800999999999
TCGA-18-3416-01A-01R-0980-07,0.015767621000000002,0.0,0.06372668,0.418541025,0.0,0.0,0.10474864199999999,0.035508876,0.00949759,0.0,0.016625666,0.006486904,0.0,0.027992826000000002,0.116528795,0.141148537,0.021907675,0.0,0.012699107,0.0,0.0,0.008820057
TCGA-18-3417-01A-01R-1443-07,0.019963276000000002,0.0,0.139542361,0.07344497400000001,0.0,0.113806523,0.020192316000000002,0.019090955,0.005783496999999999,0.0,0.0,0.01086987,0.0,0.27977296100000004,0.040897491,0.12047892,0.045036337999999995,0.0,0.0,0.11112051699999999,0.0,0.0
TCGA-18-3421-01A-01R-0980-07,0.06947676400000001,0.0,0.017122435,0.24675361699999998,0.0,0.010401728,0.07268656,0.045375847999999996,0.0,0.043182594000000005,0.0,0.0,0.0032048690000000004,0.052038057,0.11755478800000001,0.147558627,0.042167034000000006,0.06263307,0.066186966,0.0,0.0,0.003657042
TCGA-18-4083-01A-01R-1100-07,0.004803914,0.0,0.163374816,0.147491676,0.0,0.16185683,0.006911055,0.022428697,0.021414573,0.0,0.0,0.039697948999999996,0.0,0.19150647399999998,0.069003471,0.12188624,0.00109986,0.0,0.048524445,0.0,0.0,0.0
TCGA-18-4086-01A-01R-1100-07,0.050741975999999994,0.0,0.20324827399999998,0.079835299,0.0,0.118248707,0.017961788,0.0,0.0,0.0,0.0,0.031622282,0.002587751,0.082201768,0.093446259,0.188135193,0.041311388,0.0,0.084235169,0.0,0.0,0.006424147
TCGA-18-4721-01A-01R-1443-07,0.000924804,0.0,0.15218916400000002,0.024251397999999997,0.0,0.254850074,0.027000826000000002,0.03188189,0.0,0.031182817,0.0,0.035004651,0.0,0.044696118,0.121008857,0.135160213,0.046945415,0.0,0.09192561199999999,0.0,0.0,0.002978162
TCGA-18-5592-01A-01R-1635-07,0.02175118,0.0,0.127904503,0.18588523699999998,0.0,0.17312049,0.069514265,0.020127071,0.0,0.0,0.099561904,0.0,0.018821586,0.067075051,0.062512736,0.073906477,0.042246729000000004,0.004845307,0.032727464,0.0,0.0,0.0
TCGA-21-1070-01A-01R-0692-07,0.007595261999999999,0.0020980070000000003,0.111976715,0.158060817,0.0,0.05144377,0.11021815300000001,0.049136715,0.01548322,0.0,0.031019455,0.0,0.0,0.08951524,0.09106668300000001,0.1691695,0.0,0.07353879099999999,0.0070130240000000005,0.0,0.0,0.032664646
TCGA-21-1071-01A-01R-0692-07,0.008876443000000001,0.0,0.054074986,0.000101611,0.0,0.222287782,0.0,0.027740352000000003,0.012247282,0.0,0.048414809,0.0,0.0,0.257847443,0.127787528,0.161859409,0.03328308,0.0,0.013291686,0.0,0.0,0.03218759
TCGA-21-1072-01A-01R-0692-07,0.028826927999999998,0.0,0.073942181,0.058252001,0.0,0.183141661,0.067060315,0.0,0.0,0.0,0.024484999,0.009250721,0.066423042,0.03884826,0.09757939800000001,0.091358265,0.104301595,0.060525744000000006,0.03942933,0.0,0.020532717,0.036042843
TCGA-21-1076-01A-01R-0692-07,0.005340787,0.014699175,0.036880815,0.04662358,0.0,0.05890539400000001,0.032756987,0.024240361000000002,0.050278492,0.0,0.011007856000000002,0.0,0.0,0.444342354,0.08954419300000001,0.135632594,0.0015741529999999998,0.0,0.04817326,0.0,0.0,0.0
TCGA-21-1077-01A-01R-0692-07,0.018906361,0.0,0.187653515,0.030373881000000002,0.0,0.162402273,0.033055714,0.0,0.0,0.0,0.015821618,0.0,0.0,0.39184088899999997,0.005089956,0.082327108,0.023594244,0.03097413,0.0,0.016931525,0.0,0.001028786
TCGA-21-1079-01A-01R-0692-07,0.0,0.0,0.10222323400000001,0.026692947999999998,0.0,0.18584846300000002,0.0,0.0,0.0,0.0,0.0,0.056733873,0.0,0.254205038,0.043867504,0.21688429,0.01306337,0.025468954,0.0,0.06990572,0.0,0.005106607
TCGA-21-1080-01A-01R-0692-07,0.003075108,0.0,0.068060661,0.24543795699999998,0.0,0.059432755,0.124434954,0.040982966,0.0,0.002809843,0.0,0.013085488000000001,0.0,0.115571693,0.064648713,0.119027113,0.009898658000000001,0.048313136,0.061507339,0.0,0.005221667,0.01849195
TCGA-21-1081-01A-01R-0692-07,0.001031969,0.0,0.19398098100000002,0.057782154,0.0,0.20718266899999999,0.0,0.018996968,0.0,0.0,0.036957905,0.002097941,0.017001224,0.234153363,0.010147581999999999,0.126805151,0.024335601000000002,0.0,0.0,0.034761167,0.0,0.034765325
TCGA-21-1082-01A-01R-0692-07,0.006212796,0.0,0.190794553,0.130544951,0.0,0.10960920099999999,0.054048424000000005,0.04779074,0.012283915,0.0,0.008469351,0.0,0.027226848999999997,0.137523338,0.045186431,0.09091203199999999,0.056387568,0.04308446900000001,0.039925382,0.0,0.0,0.0
TCGA-21-1083-01A-01R-0692-07,0.031498949,0.0,0.089464079,0.146292266,0.0,0.073003514,0.08044052,0.0513143,0.03092604,0.0,0.054633079,0.0,0.0056368880000000005,0.133729309,0.104177354,0.155350069,0.006857802,0.013563546000000001,0.023112282999999997,0.0,0.0,0.0
TCGA-21-5782-01A-01R-1635-07,0.0,0.0,0.284124779,0.143367784,0.0,0.040045869,0.005710298000000001,0.049911076,0.042284019000000006,0.0,0.0,0.056196464,0.0,0.232691951,0.062809938,0.058221336,0.001180595,0.000259564,0.02104816,0.0021481679999999998,0.0,0.0
TCGA-21-5783-01A-41R-2187-07,0.021450071,0.0,0.10331051,0.0,0.0,0.279521144,0.019751285,0.0028308120000000003,0.0,0.0,0.029363012,0.0,0.0052984619999999994,0.38240534,0.0538899,0.048133132,0.029813705,0.0,0.024232627000000003,0.0,0.0,0.0
