id,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils
TCGA-F7-8489-01A-31R-2403-07,0.012924239,0,0.032930116,0.095713791,0,0.251618483,0.130909993,0.051157441,0,0,0.044285748,0.003272859,0.005134509,0.067802566,0.115010413,0.046647593,0.052163987,0.045625479,0,0.042170921,0,0.00263186
TCGA-CX-7082-01A-11R-2016-07,0.004966971,0,0.023253444,0.168364866,0,0.091281349,0.120371171,0.023839153,0.001299362,0,0.011111517,0,0,0.145527074,0.13442306,0.15701009,0.004614731,0.03340108,0,0.073987676,0,0.006548455
TCGA-CV-6436-01A-11R-1686-07,0.003215478,0,0.051231365,0.314726675,0,0,0.155449635,0.028036936,0.037348312,0.013031791,0.029584297,0.009888837,0,0.024784554,0.139814715,0.155653071,0.009451236,0,0.026538509,0,0,0.001244589
TCGA-CR-7391-01A-11R-2016-07,0,0,0.039764739,0.160923737,0,0.034027509,0.03221188,0.043576966,0.082991268,0,0,0.012176708,0,0.236221999,0.087337818,0.066958039,0.082885382,0.028999045,0.078283647,0,0,0.013641263
TCGA-CN-A497-01A-11R-A24H-07,0.072010675,0,0.135502912,0.048456013,0,0.211722304,0.019945179,0.079708784,0.019290311,0,0.027348517,0,0,0.132745104,0.028191754,0.060112408,0.021881611,0.059360062,0,0.078222961,0,0.005501404
TCGA-CQ-A4CI-01A-11R-A266-07,0.038631507,0,0.01149945,0.058565803,0,0.032025141,0,0.069471048,0.058190076,0,0.041022945,0,0,0.436540121,0,0.146529481,0.021042056,0.054520013,0,0.031962358,0,0
TCGA-CV-5978-01A-11R-1686-07,0,0.001677953,0.004195536,0.005828779,0,0.014622483,0.009094991,0.013784972,0.008330738,0,0.000237306,0.002158207,0,0.714796443,0,0.099776394,0,0.07505088,0.050445318,0,0,0
TCGA-DQ-5624-01A-01R-1873-07,0,0,0.1015398,0.015362841,0,0.19453108,0,0.0049072,0.035452225,0,0.011420886,0.013218075,0.000377927,0.175274903,0.043087808,0.005760207,0.141845419,0.173348678,0,0.082689695,0,0.001183258
TCGA-CQ-6227-01A-11R-1915-07,0.012772871,0,0.034172107,0.023981699,0,0.094025468,0.012543231,0.02188363,0.02086444,0,0,0.037004406,0,0.362115342,0.134882186,0.170783618,0.042653236,0.002358102,0.029959662,0,0,0
TCGA-D6-6517-01A-11R-1873-07,0.040322715,0,0.114234444,0.045852561,0,0.119070774,0.000856196,0,0.06582154,0,0.004439605,0.005926576,0.015360016,0.17075167,0,0.137162077,0.092314047,0.124608756,0,0.052764223,0,0.0105148
TCGA-CR-5250-01A-01R-1514-07,0.021487102,0,0.136895456,0.073370758,0,0.171812331,0.006669005,0.059542856,0.128452264,0,0,0,0,0.266142472,0.077922324,0,0,0,0.051119495,0.002067565,0,0.004518372
TCGA-CN-5361-01A-01R-1436-07,0.000543986,0,0.002590128,0.005025302,0,0.16031003,0.016086764,0.014518462,0.026814103,0,0.033806207,0.042703306,0,0.232839736,0.145923717,0.15669324,0.079285104,0,0.082859916,0,0,0
TCGA-CV-6942-01A-21R-2016-07,0.009425379,0,0.157033119,0.149483715,0,0.028504409,0.039832003,0.036326959,0.020368,0,0.097798739,0,0,0.153215775,0.132995965,0.139620046,0.001532408,0.017770319,0.014405081,0,0,0.001688084
TCGA-CV-A468-01A-11R-A266-07,0,0,0.043411448,0.250859579,0,0.0941242,0.013087429,0.0724929,0.056975191,0,0.01824683,0,0,0.082891337,0.122344517,0.088520226,0.049045312,0.059024898,0.048976134,0,0,0
TCGA-CQ-5327-01A-01R-1686-07,0.013693546,0,0.020864158,0.24024096,0,0.027731631,0.052396547,0.024963447,0.051004864,0,0.063527586,0.003991611,0.028686828,0.090746088,0.135786225,0.155311051,0.033748045,0.000930751,0.05248142,0,0,0.003895243
TCGA-BA-A6DG-01A-21R-A30B-07,0,0,0,0.030119807,0,0.25054277,0,0,0,0,0.032912093,0,0,0.471057835,0.03985408,0.096354371,0,0,0,0.025112085,0,0.054046958
