id,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils
TCGA-MH-A562-01A-11R-A26U-07,0.0,0.0,0.008205396999999998,0.182377056,0.0,0.21369391199999999,0.0,0.0,0.076324753,0.009004785,0.0,0.029678021000000002,0.010545013999999998,0.0,0.045053665,0.322127368,0.0065206909999999995,0.0,0.09456739500000001,0.0,0.0,0.0019019430000000001
TCGA-BP-4326-01A-01R-1289-07,0.08174052799999998,0.0,0.025220576,0.0,0.0,0.27334918399999997,0.0,0.0,0.060414409,0.0,0.07909172200000002,0.0,0.0070164550000000004,0.125133033,0.096226734,0.152323445,0.0,0.0,0.077636231,0.0,0.0,0.021847682999999996
TCGA-B0-4844-01A-01R-1277-07,0.040896428,0.0,0.038246682000000004,0.240765378,0.0,0.18753939499999997,0.0,0.021521874,0.052067854000000004,0.056640635999999994,0.0,0.007247389,0.043511011,0.043708145,0.11129248599999998,0.12262880599999999,0.0,0.0,0.033933915999999995,0.0,0.0,0.0
TCGA-A3-3323-01A-02R-1325-07,0.018536745,0.0,0.0037114609999999997,0.108411766,0.0,0.262564386,0.0,0.0,0.017212784,0.006004467,0.006513831,0.006208697,0.12804625199999997,0.0,0.115987805,0.278021799,0.0,0.0,0.048498232,0.0,0.0,0.000281776
TCGA-CJ-4904-01A-02R-1426-07,0.020123589,0.0,0.001050697,0.209255042,0.0,0.16444879199999998,0.0,0.0,0.010654264999999998,0.052793023,0.0,0.0019823120000000004,0.061799317,0.012360386000000001,0.18896411800000001,0.20104111899999996,0.000949169,0.0,0.07457817100000001,0.0,0.0,0.0
TCGA-A3-3387-01A-01R-1541-07,0.0,0.0,0.014158768999999998,0.056381492,0.0,0.22458542999999997,0.0056359190000000005,0.0,0.017389432,0.0,0.030179259,0.0,0.12874018699999998,0.0,0.043142419,0.361980967,0.053458535,0.0030284759999999996,0.052085459,0.0,0.0,0.009233657
TCGA-A3-3326-01A-01R-0864-07,0.010325957000000002,0.0,0.0,0.075624474,0.0,0.295312419,0.0,0.0,0.026250676,0.0,0.01657042,0.0023600429999999996,0.0482374,0.0,0.12931991499999998,0.190335172,0.08784144300000002,0.0,0.11106121099999999,0.0,0.0,0.006760869
TCGA-CZ-5456-01A-01R-1503-07,0.038555,0.0,0.06507267700000001,0.13848351800000003,0.0,0.17813068899999998,0.0,0.026909442000000002,0.026069792,0.03528836,0.0,0.013927366000000002,0.020322819000000002,0.118807618,0.035695089,0.26359753499999994,0.0057784690000000005,0.0,0.007248320999999999,0.0,0.0,0.026113306
TCGA-CZ-4857-01A-01R-1305-07,0.00117084,0.0,0.0,0.126546269,0.0,0.237085273,0.0,0.016091453000000002,0.038481339999999996,0.0,0.0,0.036027491,0.119639384,0.044063477999999996,0.06924739299999999,0.255772852,0.0025540189999999994,0.0,0.041131367999999995,0.0,0.0,0.012188839
TCGA-B0-5400-01A-01R-1503-07,0.010535593999999999,0.0,0.035788253,0.19648849,0.0,0.15028545199999999,0.0,0.001064489,0.038151254999999995,0.001739234,0.0,0.076272881,0.002609069,0.16230773899999998,0.045588385999999995,0.21454446899999996,0.0,0.0,0.0,0.013727953000000001,0.0,0.05089673599999999
TCGA-BP-5198-01A-01R-1426-07,0.040578799,0.0,0.033946062000000006,0.118328783,0.0,0.212602767,0.048150620000000005,0.0,0.014978841,0.0,0.017245511,0.0,0.0,0.281181363,0.036611254,0.17788086199999997,0.0,0.0,0.011290325,0.0,0.0,0.007204815999999999
TCGA-A3-3306-01A-01R-0864-07,0.009337448,0.0,0.0,0.05465484200000001,0.0,0.371321619,0.0,0.0,0.022135662999999996,0.018987313999999998,0.014196859,0.0,0.023066047000000003,0.0,0.15180835199999998,0.275989294,0.013226693000000001,0.0,0.015739211000000003,0.0,0.0039474770000000005,0.025589181000000003
