,id,ac,km
0,TCGA-F7-8489-01A-31R-2403-07,0,1
1,TCGA-CX-7082-01A-11R-2016-07,0,1
2,TCGA-CV-6436-01A-11R-1686-07,2,3
3,TCGA-CR-7391-01A-11R-2016-07,1,1
4,TCGA-CN-A497-01A-11R-A24H-07,0,2
5,TCGA-CQ-A4CI-01A-11R-A266-07,1,0
6,TCGA-CV-5978-01A-11R-1686-07,3,0
7,TCGA-DQ-5624-01A-01R-1873-07,0,4
8,TCGA-CQ-6227-01A-11R-1915-07,1,4
9,TCGA-D6-6517-01A-11R-1873-07,4,2
10,TCGA-CR-5250-01A-01R-1514-07,4,2
11,TCGA-CN-5361-01A-01R-1436-07,1,4
12,TCGA-CV-6942-01A-21R-2016-07,2,2
13,TCGA-CV-A468-01A-11R-A266-07,2,3
14,TCGA-CQ-5327-01A-01R-1686-07,2,3
15,TCGA-BA-A6DG-01A-21R-A30B-07,1,0
16,TCGA-CV-7423-01A-11R-2081-07,1,0
18,TCGA-CV-6948-01A-11R-1915-07,1,4
19,TCGA-CV-6962-01A-11R-1915-07,3,0
20,TCGA-CQ-7071-01A-12R-A30B-07,0,1
21,TCGA-CR-7371-01A-11R-2016-07,0,4
22,TCGA-CQ-A4CH-01A-11R-A266-07,3,0
23,TCGA-CV-5436-01A-01R-1514-07,0,1
24,TCGA-BB-A6UO-01A-12R-A34R-07,1,4
25,TCGA-CN-A498-01A-11R-A24H-07,4,2
26,TCGA-CQ-5329-01A-01R-1686-07,0,4
27,TCGA-CN-6992-01A-11R-1915-07,1,0
28,TCGA-D6-A74Q-01A-11R-A34R-07,4,2
29,TCGA-MT-A51X-01A-11R-A266-07,1,4
30,TCGA-P3-A6SX-01A-11R-A34R-07,3,0
31,TCGA-CV-7263-01A-11R-2016-07,1,0
32,TCGA-CV-7254-01A-11R-2016-07,0,1
33,TCGA-CV-6935-01A-11R-1915-07,1,0
34,TCGA-BA-A6DB-01A-11R-A30B-07,0,1
35,TCGA-CR-7370-01A-11R-2132-07,0,1
36,TCGA-CV-6433-01A-11R-1686-07,2,3
