,id,ac,km
0,TCGA-GJ-A3OU-01A-31R-A38B-07,4,0
1,TCGA-DD-AA3A-01A-11R-A37K-07,2,3
2,TCGA-ED-A82E-01A-11R-A352-07,1,2
3,TCGA-ED-A627-01A-12R-A311-07,1,2
4,TCGA-CC-A9FV-01A-11R-A37K-07,3,2
5,TCGA-DD-AADN-01A-11R-A41C-07,0,1
6,TCGA-EP-A3JL-01A-11R-A213-07,1,2
7,TCGA-DD-AACZ-01A-11R-A41C-07,3,4
8,TCGA-BC-4072-01B-11R-A155-07,1,1
9,TCGA-2Y-A9GW-01A-11R-A38B-07,2,3
10,TCGA-DD-A1EG-01A-11R-A213-07,2,3
11,TCGA-CC-A3M9-01A-11R-A213-07,0,1
12,TCGA-FV-A3I1-01A-11R-A22L-07,2,3
14,TCGA-2Y-A9H2-01A-12R-A38B-07,2,3
15,TCGA-CC-5260-01A-01R-A131-07,1,2
16,TCGA-2Y-A9H3-01A-11R-A38B-07,1,2
17,TCGA-ED-A66X-01A-11R-A311-07,3,4
18,TCGA-DD-AAE0-01A-11R-A41C-07,2,3
19,TCGA-DD-A114-01A-11R-A131-07,1,3
20,TCGA-5C-AAPD-01A-21R-A39D-07,0,1
21,TCGA-DD-A3A6-01A-11R-A22L-07,1,2
22,TCGA-XR-A8TD-01A-12R-A39D-07,0,1
23,TCGA-FV-A3I0-01A-11R-A22L-07,2,4
24,TCGA-CC-A7II-01A-11R-A33J-07,3,4
25,TCGA-DD-AAEK-01A-11R-A41C-07,0,2
26,TCGA-BC-A8YO-01A-11R-A37K-07,1,2
27,TCGA-G3-A25T-01A-11R-A16W-07,2,3
28,TCGA-ED-A97K-01A-21R-A38B-07,2,0
29,TCGA-G3-AAV7-01A-11R-A38B-07,4,0
30,TCGA-2V-A95S-01A-11R-A37K-07,0,1
31,TCGA-DD-AAW0-01A-11R-A41C-07,2,3
32,TCGA-GJ-A6C0-01A-12R-A311-07,4,0
33,TCGA-DD-AAVU-01A-11R-A41C-07,4,0
34,TCGA-UB-A7MF-01A-11R-A33J-07,1,1
35,TCGA-2Y-A9GY-01A-11R-A38B-07,0,1
36,TCGA-CC-5258-01A-01R-A131-07,2,3
37,TCGA-ZP-A9D2-01A-11R-A38B-07,1,2
38,TCGA-G3-A5SJ-01A-11R-A27V-07,0,2
39,TCGA-K7-A5RG-01A-11R-A28V-07,0,1
40,TCGA-BW-A5NQ-01A-11R-A27V-07,0,1
41,TCGA-DD-AAE2-01A-11R-A41C-07,1,2
42,TCGA-RG-A7D4-01A-12R-A33R-07,0,1
43,TCGA-BC-A69H-01A-11R-A311-07,2,3
44,TCGA-ED-A5KG-01A-11R-A27V-07,0,2
45,TCGA-UB-A7ME-01A-11R-A33J-07,0,2
46,TCGA-MR-A8JO-01A-12R-A36F-07,1,2
47,TCGA-2Y-A9GX-01A-11R-A38B-07,1,2
48,TCGA-CC-A3MA-01A-11R-A213-07,4,0
49,TCGA-DD-A4NH-01A-11R-A27V-07,2,3
50,TCGA-G3-A5SM-01A-12R-A28V-07,2,3
51,TCGA-DD-AAVQ-01A-11R-A41C-07,0,2
52,TCGA-DD-A4NR-01A-11R-A311-07,1,1
53,TCGA-DD-A1EC-01A-21R-A131-07,0,1
54,TCGA-ED-A7PX-01A-51R-A352-07,3,4
55,TCGA-PD-A5DF-01A-11R-A27V-07,4,0
56,TCGA-DD-AAE4-01A-11R-A41C-07,1,2
57,TCGA-DD-AACL-01A-11R-A41C-07,2,4
58,TCGA-G3-AAV3-01A-11R-A37K-07,0,1
59,TCGA-BC-4073-01B-02R-A131-07,2,4
60,TCGA-FV-A4ZP-01A-12R-A266-07,2,4
61,TCGA-DD-AAVV-01A-11R-A41C-07,1,2
62,TCGA-DD-AACC-01A-11R-A41C-07,0,1
63,TCGA-DD-A1EL-01A-11R-A155-07,3,4
64,TCGA-G3-A25X-01A-11R-A16W-07,1,2
65,TCGA-DD-A73F-01A-11R-A32O-07,1,1
66,TCGA-CC-A1HT-01A-11R-A131-07,1,2
