,id,ac,km
0,TCGA-A7-A26G-01A-21R-A169-07,0,3
1,TCGA-B6-A0RG-01A-11R-A056-07,1,2
2,TCGA-C8-A12K-01A-21R-A115-07,3,1
3,TCGA-E2-A574-01A-11R-A29R-07,2,0
4,TCGA-D8-A1XQ-01A-11R-A14M-07,1,2
5,TCGA-D8-A147-01A-11R-A115-07,1,2
6,TCGA-OL-A5RW-01A-11R-A28M-07,1,2
7,TCGA-E2-A14N-01A-31R-A137-07,0,3
8,TCGA-E9-A3QA-01A-61R-A22K-07,3,1
9,TCGA-E2-A14R-01A-11R-A115-07,1,2
10,TCGA-PL-A8LZ-01A-31R-A36F-07,3,1
11,TCGA-OL-A66P-01A-11R-A31O-07,4,4
12,TCGA-D8-A27H-01A-11R-A16F-07,1,2
13,TCGA-A2-A0SX-01A-12R-A084-07,1,3
14,TCGA-D8-A1XK-01A-21R-A14M-07,1,2
15,TCGA-GI-A2C9-01A-11R-A21T-07,0,2
16,TCGA-D8-A1JL-01A-11R-A13Q-07,1,2
17,TCGA-E9-A244-01A-11R-A169-07,1,2
18,TCGA-A7-A26F-01B-04R-A22O-07,0,3
19,TCGA-A2-A04P-01A-31R-A034-07,0,3
20,TCGA-D8-A27M-01A-11R-A16F-07,0,3
21,TCGA-AC-A7VC-01A-11R-A352-07,2,0
22,TCGA-D8-A1JF-01A-11R-A13Q-07,0,4
23,TCGA-B6-A1KF-01A-11R-A13Q-07,2,0
24,TCGA-A7-A6VY-01A-12R-A33J-07,1,2
25,TCGA-BH-A1EW-01A-11R-A137-07,0,3
26,TCGA-E2-A1LH-01A-11R-A14D-07,3,1
27,TCGA-C8-A26Y-01A-11R-A16F-07,2,0
28,TCGA-B6-A402-01A-11R-A239-07,2,0
29,TCGA-AO-A1KR-01A-12R-A144-07,3,1
30,TCGA-AR-A1AR-01A-31R-A137-07,1,2
31,TCGA-AR-A0TU-01A-31R-A109-07,3,1
32,TCGA-BH-A0B3-01A-11R-A056-07,4,4
33,TCGA-A2-A3XX-01A-21R-A239-07,1,2
34,TCGA-BH-A42U-01A-12R-A24H-07,3,1
35,TCGA-AR-A1AY-01A-21R-A12P-07,2,0
36,TCGA-BH-A0WA-01A-11R-A109-07,1,2
37,TCGA-B6-A0I6-01A-11R-A034-07,1,2
38,TCGA-AR-A0U4-01A-11R-A109-07,2,0
39,TCGA-A8-A08X-01A-21R-A00Z-07,4,4
40,TCGA-EW-A3U0-01A-11R-A22K-07,3,1
41,TCGA-D8-A27F-01A-11R-A16F-07,2,0
42,TCGA-GM-A2DD-01A-11R-A180-07,0,3
43,TCGA-A7-A5ZV-01A-11R-A28M-07,1,2
44,TCGA-AC-A2QJ-01A-12R-A19W-07,0,2
45,TCGA-C8-A1HJ-01A-11R-A13Q-07,3,1
46,TCGA-E2-A158-01A-11R-A12D-07,3,1
47,TCGA-A2-A3XY-01A-11R-A239-07,1,2
48,TCGA-A2-A0T0-01A-22R-A084-07,1,2
49,TCGA-B6-A0I1-01A-11R-A21T-07,2,0
50,TCGA-B6-A0RU-01A-11R-A084-07,0,2
51,TCGA-LL-A740-01A-21R-A32P-07,1,2
52,TCGA-A2-A0CM-01A-31R-A034-07,3,1
53,TCGA-BH-A0AV-01A-31R-A115-07,2,0
54,TCGA-D8-A13Z-01A-11R-A115-07,1,2
55,TCGA-A7-A6VW-01A-21R-A33J-07,1,2
56,TCGA-BH-A0RX-01A-21R-A084-07,3,1
57,TCGA-EW-A1P1-01A-31R-A14D-07,1,2
58,TCGA-BH-A18Q-01A-12R-A12D-07,3,1
59,TCGA-AO-A124-01A-11R-A10J-07,1,2
60,TCGA-BH-A0BW-01A-11R-A115-07,3,3
61,TCGA-EW-A1P8-01A-11R-A144-07,0,2
62,TCGA-AO-A128-01A-11R-A10J-07,3,1
63,TCGA-AR-A0U0-01A-11R-A109-07,3,1
64,TCGA-E2-A1AZ-01A-11R-A12P-07,0,3
65,TCGA-C8-A134-01A-11R-A115-07,1,2
66,TCGA-OL-A5D7-01A-11R-A27Q-07,0,1
67,TCGA-A1-A0SP-01A-11R-A084-07,1,2
68,TCGA-AR-A1AI-01A-11R-A12P-07,3,1
69,TCGA-B6-A3ZX-01A-11R-A239-07,0,1
70,TCGA-AR-A1AQ-01A-11R-A12P-07,0,4
71,TCGA-GM-A2DB-01A-31R-A18M-07,1,2
72,TCGA-A8-A07O-01A-11R-A00Z-07,2,0
73,TCGA-E2-A1LL-01A-11R-A144-07,0,2
74,TCGA-A2-A04T-01A-21R-A034-07,3,1
75,TCGA-E2-A150-01A-11R-A12D-07,1,2
76,TCGA-OL-A5D6-01A-21R-A27Q-07,0,3
77,TCGA-E9-A5FL-01A-11R-A27Q-07,0,3
78,TCGA-BH-A18V-01A-11R-A12D-07,1,0
79,TCGA-AN-A0AL-01A-11R-A00Z-07,1,4
80,TCGA-EW-A1PH-01A-11R-A14M-07,3,1
81,TCGA-GM-A2DI-01A-31R-A18M-07,0,3
82,TCGA-HN-A2NL-01A-11R-A18M-07,3,1
83,TCGA-AO-A0J6-01A-11R-A034-07,3,1
84,TCGA-D8-A1JG-01B-11R-A13Q-07,0,4
85,TCGA-E2-A1LI-01A-12R-A157-07,1,2
86,TCGA-S3-AA15-01A-11R-A41B-07,4,4
87,TCGA-A2-A0D0-01A-11R-A00Z-07,3,1
88,TCGA-PL-A8LV-01A-21R-A41B-07,3,1
89,TCGA-E9-A243-01A-21R-A169-07,0,3
90,TCGA-GM-A3XL-01A-11R-A22U-07,3,1
91,TCGA-LL-A441-01A-11R-A24H-07,0,1
92,TCGA-B6-A400-01A-11R-A239-07,1,2
93,TCGA-AR-A256-01A-11R-A169-07,1,2
94,TCGA-EW-A6SB-01A-12R-A32P-07,4,4
95,TCGA-E2-A1LG-01A-21R-A14M-07,3,4
96,TCGA-EW-A1OV-01A-11R-A144-07,3,1
97,TCGA-AC-A6IW-01A-12R-A33J-07,0,3
98,TCGA-BH-A1F6-01A-11R-A13Q-07,1,2
99,TCGA-BH-A1FC-01A-11R-A13Q-07,4,4
100,TCGA-B6-A0WX-01A-11R-A109-07,0,3
101,TCGA-D8-A143-01A-11R-A115-07,0,4
102,TCGA-B6-A409-01A-11R-A24H-07,0,3
103,TCGA-A7-A26I-01B-06R-A22O-07,1,2
