,id,ac,km
0,TCGA-K4-A5RI-01A-11R-A28M-07,0,1
1,TCGA-UY-A9PH-01A-11R-A38B-07,2,4
2,TCGA-XF-A9SY-01A-21R-A42T-07,1,1
3,TCGA-E7-A6MD-01A-41R-A352-07,0,1
4,TCGA-GV-A3QG-01A-11R-A220-07,0,2
5,TCGA-UY-A8OC-01A-11R-A36F-07,3,0
6,TCGA-XF-AAMR-01A-31R-A42T-07,4,3
7,TCGA-BT-A20O-01A-21R-A14Y-07,2,4
8,TCGA-BT-A42F-01A-11R-A23W-07,2,0
9,TCGA-XF-A9SL-01A-11R-A39I-07,0,2
10,TCGA-FD-A5C1-01A-11R-A28M-07,2,4
11,TCGA-4Z-AA7N-01A-11R-A39I-07,0,2
12,TCGA-XF-A9T4-01A-11R-A39I-07,0,1
13,TCGA-ZF-AA4V-01A-11R-A38B-07,2,4
14,TCGA-XF-A8HE-01A-11R-A36F-07,2,4
15,TCGA-GC-A6I1-01A-12R-A31N-07,2,0
16,TCGA-4Z-AA82-01A-11R-A39I-07,0,1
17,TCGA-DK-AA6Q-01A-11R-A39I-07,2,4
18,TCGA-DK-A1AF-01A-11R-A13Y-07,1,0
19,TCGA-FD-A3B8-01A-31R-A20F-07,0,1
20,TCGA-GV-A3JX-01A-11R-A20F-07,2,4
21,TCGA-BT-A20Q-01A-11R-A14Y-07,2,2
22,TCGA-K4-A5RJ-01A-11R-A28M-07,2,4
23,TCGA-DK-A6B2-01A-11R-A30C-07,0,2
24,TCGA-UY-A8OD-01A-11R-A36F-07,1,0
25,TCGA-GU-A766-01A-11R-A32O-07,2,4
26,TCGA-BL-A5ZZ-01A-31R-A30C-07,3,0
27,TCGA-ZF-AA52-01A-12R-A39I-07,3,0
28,TCGA-GD-A76B-01A-11R-A32O-07,2,2
29,TCGA-DK-AA6L-01A-11R-A39I-07,0,1
30,TCGA-FD-A3B3-01A-12R-A206-07,2,2
31,TCGA-K4-A3WS-01A-11R-A22U-07,0,2
32,TCGA-ZF-A9RF-01A-11R-A38B-07,2,4
33,TCGA-R3-A69X-01A-22R-A30C-07,0,1
34,TCGA-G2-A2EJ-01A-11R-A180-07,1,1
35,TCGA-XF-AAN2-01A-11R-A42T-07,0,1
36,TCGA-K4-A54R-01A-11R-A26T-07,2,4
37,TCGA-BL-A13I-01A-11R-A13Y-07,4,3
38,TCGA-FD-A3B7-01A-31R-A20F-07,2,4
39,TCGA-FD-A6TB-01A-12R-A33J-07,0,2
40,TCGA-FD-A6TD-01A-51R-A33J-07,0,3
