,id,ac,km
0,TCGA-VS-A9UT-01A-11R-A42T-07,0,3
1,TCGA-EK-A2H0-01A-11R-A180-07,2,1
2,TCGA-C5-A1M7-01A-11R-A13Y-07,1,2
3,TCGA-DS-A1OB-01A-11R-A14Y-07,1,2
4,TCGA-ZJ-A8QO-01A-11R-A37O-07,1,2
5,TCGA-EK-A2RC-01A-11R-A18M-07,1,2
6,TCGA-FU-A3EO-01A-11R-A213-07,1,2
7,TCGA-VS-A9U7-01A-11R-A42T-07,0,3
8,TCGA-EK-A2IP-01A-11R-A180-07,0,1
9,TCGA-DG-A2KK-01A-11R-A180-07,1,2
10,TCGA-VS-A9V3-01A-11R-A42T-07,1,2
11,TCGA-DS-A7WF-01A-11R-A352-07,1,2
12,TCGA-C5-A2LX-01A-11R-A18M-07,0,3
13,TCGA-DS-A0VM-01A-11R-A10U-07,1,2
14,TCGA-C5-A8XH-01A-11R-A37O-07,1,2
15,TCGA-EK-A2RB-01A-11R-A18M-07,0,3
16,TCGA-EA-A1QT-01A-11R-A14Y-07,1,2
17,TCGA-C5-A7CJ-01A-11R-A32P-07,1,2
18,TCGA-DR-A0ZM-01A-12R-A10U-07,0,3
19,TCGA-DS-A7WI-01A-12R-A352-07,1,2
20,TCGA-EK-A2R7-01A-11R-A18M-07,0,4
21,TCGA-ZJ-AAX8-01A-11R-A42T-07,0,3
22,TCGA-VS-A94Z-01A-11R-A38B-07,4,0
23,TCGA-C5-A1BM-01A-11R-A13Y-07,1,2
24,TCGA-ZJ-A8QQ-01A-11R-A37O-07,2,1
25,TCGA-ZJ-AAXJ-01A-11R-A42T-07,3,4
26,TCGA-EX-A69M-01A-11R-A32P-07,0,3
27,TCGA-ZJ-AAXF-01A-31R-A42T-07,1,2
28,TCGA-JW-A5VI-01A-11R-A28H-07,0,3
29,TCGA-HG-A2PA-01A-11R-A213-07,0,3
30,TCGA-VS-A8QM-01A-11R-A37O-07,1,2
31,TCGA-C5-A3HE-01A-21R-A22U-07,4,0
32,TCGA-VS-A94X-01A-11R-A38B-07,0,3
33,TCGA-JW-A5VL-01A-11R-A28H-07,0,3
34,TCGA-EK-A3GJ-01A-21R-A213-07,0,3
35,TCGA-C5-A8XI-01A-11R-A37O-07,0,3
36,TCGA-C5-A0TN-01A-21R-A14Y-07,2,1
37,TCGA-EK-A2R8-01A-21R-A18M-07,0,3
38,TCGA-2W-A8YY-01A-11R-A37O-07,2,1
