,id,ac,km
0,TCGA-CM-6165-01A-11R-1653-07,4,0
1,TCGA-CI-6621-01A-11R-1830-07,4,0
2,TCGA-F5-6813-01A-11R-1830-07,4,2
3,TCGA-DC-6156-01A-11R-1660-07,4,0
4,TCGA-AA-A022-01A-21R-A16W-07,2,1
5,TCGA-AG-3882-01A-01R-0905-07,2,1
6,TCGA-AF-2690-01A-02R-1736-07,1,2
7,TCGA-AA-3554-01A-01R-0826-07,4,0
8,TCGA-F5-6464-01A-11R-1736-07,1,2
9,TCGA-AG-3901-01A-01R-1119-07,4,0
10,TCGA-G4-6295-01A-11R-1723-07,2,1
11,TCGA-AA-3869-01A-01R-1022-07,4,2
12,TCGA-AA-3715-01A-01R-0905-07,1,2
13,TCGA-AD-5900-01A-11R-1653-07,2,1
14,TCGA-CK-4948-01B-11R-1653-07,4,0
15,TCGA-EI-6507-01A-11R-1736-07,1,0
16,TCGA-CM-6169-01A-11R-1653-07,4,0
17,TCGA-AM-5821-01A-01R-1653-07,2,1
18,TCGA-A6-6780-01A-11R-1839-07,2,3
19,TCGA-F5-6571-01A-12R-1830-07,4,2
20,TCGA-AG-3609-01A-02R-0826-07,4,0
21,TCGA-AA-3866-01A-01R-1022-07,1,2
22,TCGA-A6-2682-01A-01R-1410-07,4,0
23,TCGA-A6-6142-01A-11R-1774-07,3,4
24,TCGA-AD-6964-01A-11R-1928-07,2,1
25,TCGA-D5-5541-01A-01R-1653-07,3,4
26,TCGA-AA-3543-01A-01R-0826-07,2,1
27,TCGA-A6-6781-01A-22R-1928-07,4,4
28,TCGA-D5-6531-01A-11R-1723-07,2,1
29,TCGA-D5-6530-01A-11R-1723-07,1,2
30,TCGA-NH-A5IV-01A-42R-A37K-07,2,3
31,TCGA-AA-A004-01A-01R-A00A-07,2,0
32,TCGA-AA-A02R-01A-01R-A00A-07,2,1
33,TCGA-AA-3966-01A-01R-1113-07,4,0
34,TCGA-A6-3808-01A-01R-1022-07,1,2
35,TCGA-AZ-6601-01A-11R-1774-07,4,0
36,TCGA-WS-AB45-01A-11R-A41B-07,1,2
37,TCGA-AA-3950-01A-02R-1022-07,1,2
38,TCGA-AZ-4323-01A-21R-1839-07,0,3
39,TCGA-AA-3812-01A-01R-0905-07,3,4
40,TCGA-G4-6299-01A-11R-1774-07,2,1
41,TCGA-CM-6677-01A-11R-1839-07,1,2
42,TCGA-F4-6703-01A-11R-1839-07,1,2
43,TCGA-AA-3527-01A-01R-0821-07,4,0
44,TCGA-A6-5664-01A-21R-1839-07,0,3
45,TCGA-AA-3514-01A-02R-0821-07,4,0
46,TCGA-AZ-6598-01A-11R-1774-07,0,3
47,TCGA-D5-6930-01A-11R-1928-07,0,3
48,TCGA-AD-6901-01A-11R-1928-07,4,0
49,TCGA-A6-2676-01A-01R-0826-07,1,2
50,TCGA-AZ-4615-01A-01R-1410-07,2,1
51,TCGA-CM-6168-01A-11R-1653-07,1,2
52,TCGA-A6-2672-01A-01R-0826-07,1,2
53,TCGA-G4-6588-01A-11R-1774-07,1,2
54,TCGA-AA-A01P-01A-21R-A083-07,2,1
55,TCGA-AA-3684-01A-02R-0905-07,4,0
56,TCGA-AA-A00R-01A-01R-A002-07,2,1
57,TCGA-A6-2674-01A-02R-0821-07,1,2
58,TCGA-F5-6465-01A-11R-1736-07,1,2
59,TCGA-F5-6814-01A-31R-1928-07,1,2
60,TCGA-AZ-6603-01A-11R-1839-07,0,3
61,TCGA-D5-6923-01A-11R-A32Z-07,4,0
62,TCGA-A6-2684-01A-01R-1410-07,4,0
63,TCGA-F4-6704-01A-11R-1839-07,4,2
64,TCGA-EI-6509-01A-11R-1736-07,3,4
65,TCGA-AA-A01R-01A-21R-A083-07,2,1
66,TCGA-CM-5348-01A-21R-1723-07,3,4
67,TCGA-G4-6627-01A-11R-1774-07,0,3
68,TCGA-CK-5916-01A-11R-1653-07,0,3
69,TCGA-D5-6529-01A-11R-1774-07,1,2
70,TCGA-EI-6511-01A-11R-1736-07,4,2
71,TCGA-AG-3878-01A-02R-0905-07,2,3
72,TCGA-CM-6167-01A-11R-1653-07,0,3
73,TCGA-AY-6386-01A-21R-1723-07,4,2
74,TCGA-AA-3947-01A-01R-1022-07,0,3
75,TCGA-AF-2687-01A-02R-1736-07,4,2
76,TCGA-EI-6885-01A-11R-1928-07,4,0
77,TCGA-D5-6926-01A-11R-1928-07,3,4
78,TCGA-G4-6323-01A-11R-1723-07,0,3
79,TCGA-F4-6805-01A-11R-1839-07,0,3
80,TCGA-AA-A00D-01A-01R-A002-07,2,1
81,TCGA-AA-3672-01A-01R-0905-07,2,1
82,TCGA-CK-4951-01A-01R-1410-07,1,2
83,TCGA-D5-5538-01A-01R-1653-07,4,0
84,TCGA-AF-4110-01A-02R-1736-07,1,2
85,TCGA-CM-4751-01A-02R-1839-07,0,3
86,TCGA-AG-3881-01A-01R-0905-07,1,2
87,TCGA-AZ-4308-01A-01R-1410-07,4,0
88,TCGA-G4-6311-01A-11R-1723-07,3,4
89,TCGA-D5-6898-01A-11R-1928-07,4,0
90,TCGA-AA-3526-01A-02R-A32Z-07,2,1
91,TCGA-CA-6718-01A-11R-1839-07,0,1
92,TCGA-F4-6570-01A-11R-1774-07,2,1
93,TCGA-AZ-4684-01A-01R-1410-07,1,2
94,TCGA-AD-6899-01A-11R-1928-07,1,2
95,TCGA-AH-6547-01A-11R-1830-07,1,2
96,TCGA-AU-6004-01A-11R-1723-07,4,0
97,TCGA-D5-6534-01A-21R-1928-07,4,0
98,TCGA-AA-3555-01A-01R-0821-07,1,2
99,TCGA-AA-3856-01A-01R-0905-07,1,2
100,TCGA-F5-6812-01A-11R-1830-07,1,2
101,TCGA-F5-6702-01A-11R-1830-07,4,2
102,TCGA-A6-2679-01A-02R-1410-07,2,1
103,TCGA-F4-6807-01A-11R-1839-07,0,3
104,TCGA-AA-3982-01A-02R-1022-07,0,3
105,TCGA-F4-6461-01A-11R-1774-07,0,3
106,TCGA-AA-3713-01A-21R-1723-07,0,3
107,TCGA-AY-6196-01A-11R-1723-07,1,2
108,TCGA-AA-3870-01A-01R-1022-07,1,3
