,id,ac,km
0,TCGA-BP-4326-01A-01R-1289-07,3,2
1,TCGA-B0-4844-01A-01R-1277-07,1,4
2,TCGA-A3-3323-01A-02R-1325-07,4,2
3,TCGA-BP-4766-01A-01R-1289-07,4,3
4,TCGA-CJ-4904-01A-02R-1426-07,1,4
5,TCGA-A3-3387-01A-01R-1541-07,4,3
6,TCGA-A3-3326-01A-01R-0864-07,1,2
7,TCGA-CZ-5456-01A-01R-1503-07,4,2
8,TCGA-CZ-4857-01A-01R-1305-07,4,2
9,TCGA-B0-5400-01A-01R-1503-07,4,4
10,TCGA-BP-5198-01A-01R-1426-07,3,0
11,TCGA-A3-3306-01A-01R-0864-07,4,2
12,TCGA-A3-3329-01A-01R-0864-07,4,2
13,TCGA-B8-5550-01A-01R-1541-07,4,0
14,TCGA-BP-5010-01A-02R-1420-07,1,4
15,TCGA-CJ-4644-01A-02R-1325-07,0,1
16,TCGA-CJ-6033-01A-11R-1672-07,1,0
17,TCGA-BP-4968-01A-01R-1334-07,0,1
18,TCGA-CJ-4872-01A-01R-1305-07,1,2
19,TCGA-BP-5009-01A-01R-1334-07,0,4
20,TCGA-B0-4699-01A-01R-1277-07,0,1
21,TCGA-BP-4998-01A-01R-1334-07,4,2
22,TCGA-BP-5199-01A-01R-1426-07,0,1
23,TCGA-BP-4973-01A-01R-1334-07,1,2
24,TCGA-B2-5635-01A-01R-A277-07,4,2
25,TCGA-BP-5177-01A-01R-1426-07,1,4
26,TCGA-B0-5707-01A-11R-1541-07,2,3
27,TCGA-BP-4971-01A-01R-1334-07,3,2
28,TCGA-B8-4620-01A-02R-1325-07,3,2
29,TCGA-BP-4801-01A-02R-1420-07,2,3
30,TCGA-B8-5158-01A-01R-1420-07,1,2
31,TCGA-A3-3308-01A-02R-1325-07,4,3
32,TCGA-BP-4807-01A-01R-1305-07,2,3
33,TCGA-A3-3378-01A-02R-1325-07,0,4
34,TCGA-CJ-4869-01A-02R-1426-07,0,1
35,TCGA-CJ-4895-01A-01R-1305-07,4,4
36,TCGA-B0-5691-01A-11R-1541-07,1,2
37,TCGA-BP-4781-01A-01R-1305-07,2,3
38,TCGA-CZ-5463-01A-01R-1503-07,1,4
39,TCGA-6D-AA2E-01A-11R-A37O-07,1,4
