,id,ac,km
0,TCGA-EE-A29P-06A-11R-A18T-07,2,4
1,TCGA-EE-A3JB-06A-11R-A21D-07,1,2
2,TCGA-D9-A6EC-06A-11R-A311-07,1,2
3,TCGA-W3-AA1W-06A-11R-A38C-07,2,4
4,TCGA-EE-A29G-06A-12R-A18T-07,1,2
5,TCGA-D3-A2J8-06A-11R-A18T-07,2,4
6,TCGA-ER-A2NG-06A-11R-A18T-07,2,4
7,TCGA-EE-A2MI-06A-11R-A18U-07,0,3
8,TCGA-ER-A19S-06A-11R-A18U-07,2,4
9,TCGA-ER-A2NH-06A-11R-A18S-07,2,4
10,TCGA-D3-A3C7-06A-11R-A18U-07,1,2
11,TCGA-ER-A19N-06A-11R-A18S-07,0,0
12,TCGA-D3-A3CB-06A-11R-A18S-07,0,2
13,TCGA-DA-A1HW-06A-11R-A18U-07,2,4
14,TCGA-ER-A196-01A-11R-A18T-07,1,1
15,TCGA-WE-A8K1-06A-21R-A37K-07,2,4
16,TCGA-D3-A2JO-06A-11R-A18S-07,2,4
17,TCGA-GF-A3OT-06A-23R-A239-07,0,2
18,TCGA-D3-A8GD-06A-11R-A37K-07,0,0
19,TCGA-DA-A1I7-06A-22R-A18S-07,1,2
20,TCGA-ER-A3ET-06A-11R-A20F-07,4,3
21,TCGA-ER-A1A1-06A-11R-A18U-07,0,0
22,TCGA-FS-A4F8-06A-11R-A266-07,0,0
23,TCGA-EE-A2MJ-06A-11R-A18S-07,2,0
24,TCGA-D3-A1Q4-06A-11R-A18T-07,1,2
25,TCGA-EE-A3AG-06A-31R-A18S-07,3,1
26,TCGA-EB-A5SG-06A-11R-A311-07,2,4
27,TCGA-BF-A1Q0-01A-21R-A18S-07,0,0
28,TCGA-D3-A3CE-06A-11R-A18S-07,2,0
29,TCGA-EE-A3J5-06A-11R-A20F-07,0,0
30,TCGA-EE-A2GH-06A-11R-A18T-07,2,4
31,TCGA-EE-A2GT-06A-12R-A18S-07,0,0
32,TCGA-ER-A19E-06A-11R-A18S-07,1,2
33,TCGA-HR-A2OH-06A-11R-A18U-07,2,4
34,TCGA-FS-A1ZA-06A-11R-A18T-07,0,0
35,TCGA-DA-A1HY-06A-11R-A18T-07,3,1
36,TCGA-FR-A7U9-06A-11R-A352-07,4,3
37,TCGA-ER-A42L-06A-11R-A24X-07,2,4
38,TCGA-ER-A19M-06A-61R-A239-07,2,4
39,TCGA-FS-A1ZD-06A-11R-A18T-07,1,3
40,TCGA-ER-A19G-06A-11R-A18U-07,1,2
41,TCGA-QB-AA9O-06A-11R-A39D-07,0,0
42,TCGA-ER-A2NC-06A-11R-A18T-07,4,3
43,TCGA-DA-A95V-06A-11R-A37K-07,0,0
44,TCGA-EB-A82B-01A-11R-A352-07,0,0
45,TCGA-EB-A5VV-06A-11R-A32P-07,0,0
46,TCGA-BF-AAP7-01A-11R-A40A-07,2,4
47,TCGA-DA-A1IB-06A-11R-A18S-07,1,0
48,TCGA-D9-A3Z4-01A-11R-A239-07,4,3
49,TCGA-EE-A2GK-06A-11R-A18S-07,0,0
50,TCGA-D3-A5GO-06A-12R-A27Q-07,1,2
51,TCGA-D3-A51J-06A-11R-A266-07,2,4
52,TCGA-QB-A6FS-06A-11R-A311-07,2,4
