,id,ac,km
0,TCGA-BR-8366-01A-11R-2343-13,3,4
1,TCGA-BR-8291-01A-11R-2343-13,4,1
2,TCGA-VQ-A94P-01A-13R-A414-31,4,1
3,TCGA-FP-A4BF-01A-12R-A36D-31,3,3
4,TCGA-VQ-A8PD-01A-11R-A414-31,1,0
5,TCGA-BR-6563-01A-13R-2055-13,2,3
6,TCGA-MX-A666-01A-11R-A31P-31,1,0
7,TCGA-BR-6709-01A-11R-1884-13,2,3
8,TCGA-BR-6455-01A-11R-1802-13,2,3
9,TCGA-RD-A7BS-01A-11R-A32D-31,1,0
10,TCGA-HU-8238-01A-11R-2343-13,1,4
11,TCGA-R5-A7ZI-01A-11R-A354-31,2,3
12,TCGA-VQ-A8P3-01A-11R-A36D-31,2,3
13,TCGA-BR-6565-01A-11R-1802-13,3,4
14,TCGA-IN-A6RS-01A-12R-A354-31,3,4
15,TCGA-BR-7901-01A-11R-2203-13,0,2
16,TCGA-BR-8686-01A-11R-2402-13,2,3
17,TCGA-CD-5798-01A-11R-1602-13,4,1
18,TCGA-VQ-A8E2-01A-11R-A36D-31,3,4
19,TCGA-IN-A7NR-01A-11R-A354-31,1,0
20,TCGA-HU-A4H4-01A-21R-A251-31,3,3
21,TCGA-IN-7808-01A-11R-2203-13,1,0
22,TCGA-BR-8297-01A-12R-2343-13,1,1
23,TCGA-B7-5818-01A-11R-1602-13,3,3
24,TCGA-CD-A486-01A-11R-A24K-31,0,2
25,TCGA-VQ-A8P8-01A-11R-A39E-31,1,0
26,TCGA-BR-8058-01A-31R-2343-13,1,1
27,TCGA-CG-4460-01A-01R-1157-13,4,4
28,TCGA-BR-6852-01A-11R-1884-13,2,3
29,TCGA-HU-A4H5-01A-21R-A251-31,3,2
30,TCGA-D7-6522-01A-11R-1802-13,3,4
31,TCGA-D7-A6F2-01A-12R-A31P-31,4,1
32,TCGA-BR-7717-01A-11R-2055-13,3,4
33,TCGA-BR-6707-01A-11R-1884-13,2,3
34,TCGA-CG-4444-01A-01R-1157-13,4,1
