,id,ac,km
0,TCGA-05-4249-01A-01R-1107-07,3,4
1,TCGA-05-4250-01A-01R-1107-07,0,4
2,TCGA-05-4382-01A-01R-1206-07,1,3
3,TCGA-05-4384-01A-01R-1755-07,4,3
4,TCGA-05-4389-01A-01R-1206-07,0,0
5,TCGA-05-4390-01A-02R-1755-07,1,1
6,TCGA-05-4395-01A-01R-1206-07,0,4
7,TCGA-05-4397-01A-01R-1206-07,4,3
8,TCGA-05-4398-01A-01R-1206-07,0,4
9,TCGA-05-4402-01A-01R-1206-07,4,3
10,TCGA-05-4403-01A-01R-1206-07,0,1
11,TCGA-05-4405-01A-21R-1858-07,1,2
12,TCGA-05-4410-01A-21R-1858-07,0,4
13,TCGA-05-4415-01A-22R-1858-07,3,4
14,TCGA-05-4417-01A-22R-1858-07,0,4
15,TCGA-05-4418-01A-01R-1206-07,0,4
16,TCGA-05-4422-01A-01R-1206-07,0,0
17,TCGA-05-4424-01A-22R-1858-07,4,3
18,TCGA-05-4425-01A-01R-1755-07,4,1
19,TCGA-05-4426-01A-01R-1206-07,1,1
20,TCGA-05-4427-01A-21R-1858-07,0,4
21,TCGA-05-4430-01A-02R-1206-07,0,1
22,TCGA-05-4432-01A-01R-1206-07,0,1
23,TCGA-05-4433-01A-22R-1858-07,1,1
24,TCGA-05-4434-01A-01R-1206-07,0,4
25,TCGA-05-5420-01A-01R-1628-07,0,4
26,TCGA-05-5423-01A-01R-1628-07,3,4
27,TCGA-05-5425-01A-02R-1628-07,0,0
28,TCGA-05-5428-01A-01R-1628-07,4,3
29,TCGA-05-5429-01A-01R-1628-07,3,4
30,TCGA-05-5715-01A-01R-1628-07,1,2
31,TCGA-18-3406-01A-01R-0980-07,0,4
32,TCGA-18-3407-01A-01R-0980-07,0,1
33,TCGA-18-3408-01A-01R-0980-07,4,3
34,TCGA-18-3409-01A-01R-0980-07,4,3
35,TCGA-18-3410-01A-01R-0980-07,0,1
36,TCGA-18-3411-01A-01R-0980-07,0,4
37,TCGA-18-3412-01A-01R-0980-07,0,4
38,TCGA-18-3414-01A-01R-0980-07,3,4
39,TCGA-18-3415-01A-01R-0980-07,0,4
40,TCGA-18-3416-01A-01R-0980-07,2,0
41,TCGA-18-3417-01A-01R-1443-07,1,1
42,TCGA-18-3421-01A-01R-0980-07,0,0
43,TCGA-18-4083-01A-01R-1100-07,0,1
44,TCGA-18-4086-01A-01R-1100-07,0,4
45,TCGA-18-4721-01A-01R-1443-07,3,4
