,id,ac,km
0,TCGA-05-4249-01A-01R-1107-07,3,1
1,TCGA-05-4250-01A-01R-1107-07,0,1
2,TCGA-05-4382-01A-01R-1206-07,1,4
3,TCGA-05-4384-01A-01R-1755-07,4,4
4,TCGA-05-4389-01A-01R-1206-07,0,3
5,TCGA-05-4390-01A-02R-1755-07,1,0
6,TCGA-05-4395-01A-01R-1206-07,0,1
7,TCGA-05-4397-01A-01R-1206-07,4,4
8,TCGA-05-4398-01A-01R-1206-07,0,2
9,TCGA-05-4402-01A-01R-1206-07,4,4
10,TCGA-05-4403-01A-01R-1206-07,0,0
11,TCGA-05-4405-01A-21R-1858-07,1,0
12,TCGA-05-4410-01A-21R-1858-07,0,2
13,TCGA-05-4415-01A-22R-1858-07,3,1
14,TCGA-05-4417-01A-22R-1858-07,0,1
15,TCGA-05-4418-01A-01R-1206-07,0,2
16,TCGA-05-4422-01A-01R-1206-07,0,3
17,TCGA-05-4424-01A-22R-1858-07,4,1
18,TCGA-05-4425-01A-01R-1755-07,4,4
19,TCGA-05-4426-01A-01R-1206-07,1,0
20,TCGA-05-4427-01A-21R-1858-07,0,1
21,TCGA-05-4430-01A-02R-1206-07,0,2
22,TCGA-05-4432-01A-01R-1206-07,0,2
23,TCGA-05-4433-01A-22R-1858-07,1,0
24,TCGA-05-4434-01A-01R-1206-07,0,1
25,TCGA-05-5420-01A-01R-1628-07,0,2
26,TCGA-05-5423-01A-01R-1628-07,3,1
27,TCGA-05-5425-01A-02R-1628-07,0,3
28,TCGA-05-5428-01A-01R-1628-07,4,4
29,TCGA-05-5429-01A-01R-1628-07,3,1
30,TCGA-05-5715-01A-01R-1628-07,1,0
31,TCGA-18-3406-01A-01R-0980-07,0,2
32,TCGA-18-3407-01A-01R-0980-07,0,2
33,TCGA-18-3408-01A-01R-0980-07,4,4
34,TCGA-18-3409-01A-01R-0980-07,4,4
35,TCGA-18-3410-01A-01R-0980-07,0,2
36,TCGA-18-3411-01A-01R-0980-07,0,2
37,TCGA-18-3412-01A-01R-0980-07,0,1
38,TCGA-18-3414-01A-01R-0980-07,3,1
39,TCGA-18-3415-01A-01R-0980-07,0,1
40,TCGA-18-3416-01A-01R-0980-07,2,3
41,TCGA-18-3417-01A-01R-1443-07,1,0
42,TCGA-18-3421-01A-01R-0980-07,0,3
43,TCGA-18-4083-01A-01R-1100-07,0,2
44,TCGA-18-4086-01A-01R-1100-07,0,2
45,TCGA-18-4721-01A-01R-1443-07,3,1
46,TCGA-18-5592-01A-01R-1635-07,0,2
47,TCGA-21-1070-01A-01R-0692-07,0,2
48,TCGA-21-1071-01A-01R-0692-07,0,0
49,TCGA-21-1072-01A-01R-0692-07,0,1
50,TCGA-21-1076-01A-01R-0692-07,1,0
51,TCGA-21-1077-01A-01R-0692-07,1,0
52,TCGA-21-1079-01A-01R-0692-07,1,0
53,TCGA-21-1080-01A-01R-0692-07,0,3
54,TCGA-21-1081-01A-01R-0692-07,0,2
55,TCGA-21-1082-01A-01R-0692-07,0,2
56,TCGA-21-1083-01A-01R-0692-07,0,2
57,TCGA-21-5782-01A-01R-1635-07,0,2
58,TCGA-21-5783-01A-41R-2187-07,1,0
59,TCGA-21-5784-01A-01R-1635-07,0,2
60,TCGA-21-5786-01A-01R-1635-07,1,2
61,TCGA-21-5787-01A-01R-1635-07,2,3
62,TCGA-21-A5DI-01A-31R-A26W-07,1,0
63,TCGA-22-0940-01A-01R-0692-07,0,3
64,TCGA-22-0944-01A-01R-0692-07,1,2
65,TCGA-22-1000-01A-01R-A32Z-07,0,1
66,TCGA-22-1005-01A-01R-0692-07,0,2
67,TCGA-22-1011-01A-01R-0692-07,0,2
68,TCGA-22-1012-01A-01R-0692-07,1,0
69,TCGA-22-1016-01A-01R-0692-07,4,4
70,TCGA-22-1017-01A-01R-0692-07,3,1
71,TCGA-22-4591-01A-01R-1201-07,3,1
72,TCGA-22-4593-01A-21R-1820-07,1,1
73,TCGA-22-4594-01A-01R-1201-07,0,2
74,TCGA-22-4595-01A-01R-1201-07,0,4
75,TCGA-22-4596-01A-01R-1201-07,0,1
76,TCGA-22-4599-01A-01R-1443-07,0,3
77,TCGA-22-4601-01A-01R-1443-07,0,2
78,TCGA-22-4604-01A-01R-1201-07,1,0
79,TCGA-22-4605-01A-21R-2125-07,1,0
80,TCGA-22-4607-01A-01R-1201-07,1,2
81,TCGA-22-4609-01A-21R-2125-07,0,0
82,TCGA-22-4613-01A-01R-1443-07,0,2
