id,axis0,axis1
TCGA-05-4249-01A-01R-1107-07,6.333845,5.489744
TCGA-05-4250-01A-01R-1107-07,5.000684,7.250866
TCGA-05-4382-01A-01R-1206-07,8.06298,4.9339385
TCGA-05-4384-01A-01R-1755-07,6.9270325,3.9243178
TCGA-05-4389-01A-01R-1206-07,4.9963703,9.900678
TCGA-05-4390-01A-02R-1755-07,10.433694,7.6283517
TCGA-05-4395-01A-01R-1206-07,5.5437875,6.3300543
TCGA-05-4397-01A-01R-1206-07,6.7768135,4.550731
TCGA-05-4398-01A-01R-1206-07,6.948266,6.614527
TCGA-05-4402-01A-01R-1206-07,6.9218783,4.854558
TCGA-05-4403-01A-01R-1206-07,9.033515,6.541627
TCGA-05-4405-01A-21R-1858-07,11.357263,7.7351255
TCGA-05-4410-01A-21R-1858-07,7.776704,10.139661
TCGA-05-4415-01A-22R-1858-07,6.6152287,7.2601466
TCGA-05-4417-01A-22R-1858-07,7.104861,6.357924
TCGA-05-4418-01A-01R-1206-07,7.3731666,7.698107
TCGA-05-4422-01A-01R-1206-07,7.0771255,10.415199
TCGA-05-4424-01A-22R-1858-07,6.8391514,5.2477164
TCGA-05-4425-01A-01R-1755-07,7.9669847,5.343839
TCGA-05-4426-01A-01R-1206-07,9.716983,5.460208
TCGA-05-4427-01A-21R-1858-07,5.9775352,6.6612563
TCGA-05-4430-01A-02R-1206-07,8.444957,6.7173204
TCGA-05-4432-01A-01R-1206-07,9.511245,8.832122
TCGA-05-4433-01A-22R-1858-07,10.413009,7.233156
TCGA-05-4434-01A-01R-1206-07,7.1983805,6.5760922
TCGA-05-5420-01A-01R-1628-07,7.1206417,7.3965225
TCGA-05-5423-01A-01R-1628-07,6.204321,5.249646
TCGA-05-5425-01A-02R-1628-07,4.815299,9.246823
TCGA-05-5428-01A-01R-1628-07,6.1787934,4.325937
TCGA-05-5429-01A-01R-1628-07,6.064412,6.0792327
TCGA-05-5715-01A-01R-1628-07,11.697369,5.5713387
TCGA-18-3406-01A-01R-0980-07,7.820122,9.451593
TCGA-18-3407-01A-01R-0980-07,9.073479,9.191387
TCGA-18-3408-01A-01R-0980-07,5.6868544,4.6640296
TCGA-18-3409-01A-01R-0980-07,7.285707,4.955987
TCGA-18-3410-01A-01R-0980-07,7.30489,8.539103
TCGA-18-3411-01A-01R-0980-07,6.214345,6.8569155
TCGA-18-3412-01A-01R-0980-07,6.2882977,7.52782
TCGA-18-3414-01A-01R-0980-07,6.4403243,5.7672424
TCGA-18-3415-01A-01R-0980-07,5.522389,8.042193
