id,cancer_type,axis0,axis1
TCGA-05-4249-01A-01R-1107-07,NSCLC,36.19907,-41.880974
TCGA-05-4250-01A-01R-1107-07,NSCLC,29.917475,8.5693865
TCGA-05-4382-01A-01R-1206-07,NSCLC,-1.9775656,-61.58579
TCGA-05-4384-01A-01R-1755-07,NSCLC,16.60235,-64.19901
TCGA-05-4389-01A-01R-1206-07,NSCLC,-2.340799,70.150734
TCGA-05-4390-01A-02R-1755-07,NSCLC,-51.67499,-7.0889792
TCGA-05-4395-01A-01R-1206-07,NSCLC,33.47058,-21.231817
TCGA-05-4397-01A-01R-1206-07,NSCLC,12.621953,-50.701588
TCGA-05-4398-01A-01R-1206-07,NSCLC,15.830716,-7.880842
TCGA-05-4402-01A-01R-1206-07,NSCLC,23.827774,-57.4819
TCGA-05-4403-01A-01R-1206-07,NSCLC,-9.327418,-51.00256
TCGA-05-4405-01A-21R-1858-07,NSCLC,-67.99097,-11.621848
TCGA-05-4410-01A-21R-1858-07,NSCLC,-42.90521,47.486675
TCGA-05-4415-01A-22R-1858-07,NSCLC,17.643324,-14.858992
TCGA-05-4417-01A-22R-1858-07,NSCLC,2.5494392,-34.083042
TCGA-05-4418-01A-01R-1206-07,NSCLC,11.4888115,-2.1101975
TCGA-05-4422-01A-01R-1206-07,NSCLC,-26.200785,61.904648
TCGA-05-4424-01A-22R-1858-07,NSCLC,10.713948,-54.00227
TCGA-05-4425-01A-01R-1755-07,NSCLC,-4.6468663,-46.271107
TCGA-05-4426-01A-01R-1206-07,NSCLC,-35.094006,-51.23174
TCGA-05-4427-01A-21R-1858-07,NSCLC,22.337782,-3.3763075
TCGA-05-4430-01A-02R-1206-07,NSCLC,-21.175613,-19.61257
TCGA-05-4432-01A-01R-1206-07,NSCLC,-53.375484,12.855004
TCGA-05-4433-01A-22R-1858-07,NSCLC,-55.75073,-20.286804
TCGA-05-4434-01A-01R-1206-07,NSCLC,6.6970797,9.593972
TCGA-05-5420-01A-01R-1628-07,NSCLC,16.418688,-1.3415087
TCGA-05-5423-01A-01R-1628-07,NSCLC,35.212914,-35.898834
TCGA-05-5425-01A-02R-1628-07,NSCLC,24.626196,59.976833
TCGA-05-5428-01A-01R-1628-07,NSCLC,23.597445,-65.172386
TCGA-05-5429-01A-01R-1628-07,NSCLC,28.971386,-18.310406
TCGA-05-5715-01A-01R-1628-07,NSCLC,-46.395878,-60.0395
TCGA-18-3406-01A-01R-0980-07,NSCLC,-40.00388,49.966953
TCGA-18-3407-01A-01R-0980-07,NSCLC,-50.422195,29.438828
TCGA-18-3408-01A-01R-0980-07,NSCLC,40.89553,-34.544247
TCGA-18-3409-01A-01R-0980-07,NSCLC,14.5106,-50.0361
TCGA-18-3410-01A-01R-0980-07,NSCLC,-17.393127,22.91104
TCGA-18-3411-01A-01R-0980-07,NSCLC,21.660734,-3.6159627
TCGA-18-3412-01A-01R-0980-07,NSCLC,21.533058,-1.7938839
TCGA-18-3414-01A-01R-0980-07,NSCLC,13.302994,-38.205402
